character	parent	image(s)	caption(s)	description
Antero-lateral Angle	Carapace	carapace_antero-lateral-angle.png	Illustration of the antero-lateral angles of the carapace from the dorsal view. Figure modified from Crane (1975).	"The antero-lateral angle refers to the shape of the front corners of the carapace, where the anterior edge of the carapace meets the lateral edge of the carapace. The shape of this angle can range in different species from moderately square to quite an acute triangular point."
Antero-lateral Margin	Carapace	carapace_antero-lateral-margin.png|carapace_antero-lateral-margin2.png	Illustration of the antero-lateral margins of the carapace from the dorsal view. Figure modified from Crane (1975).|Illustration of the antero-lateral margin of the carapace from a side view. Figure modified from Crane (1975).	The antero-lateral margin is the edge of the carapace which runs from the tip of the antero-lateral angle to the junction between the dorsal-lateral margin and the vertical-lateral margin.
Dorso-lateral Margin	Carapace	carapace_dorso-lateral-margin.png|carapace_dorso-lateral-margin2.png	Illustration of the dorso-lateral margins of the carapace from the dorsal view. Figure modified from Crane (1975).|Illustration of the dorso-lateral margin of the carapace from a side view. Figure modified from Crane (1975).	"The dorso-lateral margin (sometimes also referred to as the postero-dorsal margin) runs from the junction between the antero-lateral margin and the vertical-lateral margin, across the dorsal surface of the carapace."
Front	Carapace	front.png|front_narrow.png|front_broad.png	"Illustration of the breadth of the front of the crab. Figure modified from Crane (1975).|Example of a narrow-front species, Uca ornata. Figure modified from Crane (1975).|Example of a broad-front species, Uca terpsichores. Figure modified from Crane (1975)."	"The <strong>front</strong> of a fiddler crab specifically refers to the section of the carapace in between the eyestalks. Traditionally, fiddler crabs are often split into two groups based on the width of the front, the &ldquo;narrow-front& and &broad-front&rdquo; groups. While these groups may not be monophyletic, the concept still serves as a simple way to start evaluating species.</p><p>The narrow-front species tend to have the eyes extremely close together, while the broad-front range from moderately broad to very broad. There is variation within species, and the breadth of the front changes as crabs get older and larger (within broad-front species, the front gradually gets wider as the crab ages, with smaller/younger crabs having narrower fronts than larger/older crabs)."
Postero-lateral Striae	Carapace	carapace_postero-lateral-striae.png|carapace_postero-lateral-striae2.png	Illustration of the postero-lateral striae of the carapace from the dorsal view. Figure modified from Crane (1975).|Illustration of the postero-lateral striae of the carapace from a side view. Figure modified from Crane (1975).	The postero-lateral striae are additional &ldquo;creases&rdquo; (striations) found in the rear part of the dorsal surface of the carapace. The number and length of these lines varies among species.
Vertical-lateral Margin	Carapace	carapace_vertical-lateral-margin.png	Illustration of the vertical-lateral margin of the carapace from a side view. Figure modified from Crane (1975).	The vertical-lateral margin runs vertically between the junction of the antero-lateral margin and the postero-lateral margins on the dorsal surface of the carapace to the ventral margin at the bottom edge of the carapace.
Pseudopupil	Eye	orbit_eye3.jpg	A close-up of the eyestalks and eye from the fiddler crab Uca vocans. The dark vertical band in the center of the eyes is the pseudopupil. Original photo by Chris Lukhaup.	The pseudopupil in an arthropod eye is a dark spot which shifts depending on what angle you are observing the eye from. It is caused by the abosrption of light of the ommatidia being observed &ldquo;head-on&rdquo; from that viewing angle (the ommatidia viewed from other angles are reflecting light and thus not black). In fiddler crabs the pseudopupil often appears to be a long vertical band within the eye.
Style	Eye	orbit_style.jpg	"A male Uca stylifera, with a long style (indicated by the arrow) coming out of the left eye (always on the same side as the major claw). Photo by Michael S. Rosenberg."	"In a few species of fiddler crab, males may have a style growing out of the eye on the same side as the major claw. Usually the style is fairly short and not all males will have one. In the species <em class=""species"">Uca stylifera</em>, all males have a long style, about the same length as the eyestalk. The style serves no known purpose, although it may be under sexual selection."
Eye	Eyestalk	orbit_eye1.png|orbit_eye2.png|orbit_eye3.jpg	Illustration of the eyes from the dorsal view. Figure modified from Crane (1975).|Illustration of eyes from a side view. Figure modified from Crane (1975).|A close-up of the eyestalks and eye from the fiddler crab Uca vocans. The dark vertical band in the center of the eyes is known is the pseudopupil. Original photo by Chris Lukhaup.	"Fiddler crabs have a typical compound eye found in arthropods, sitting on the end of the eyestalk. "
Major Cheliped	Limbs	major_cheliped1.png|major_cheliped2.png	"The major cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The major cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The major cheliped is the limb containing the large claw on male fiddler crabs. Cheliped refers to the entire limb, not just the claw."
Minor Cheliped	Limbs	minor_cheliped1.png|minor_cheliped2.png	"The minor cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The minor cheliped is the limb containing the small claw on male fiddler crabs. Cheliped refers to the entire limb, not just the claw."
Walking Legs	Limbs	walking_legs.png	"The walking legs of the crab. The numbers refer to the pair, starting with the first (most anterior) pair and ended with the fourth (most posterior) pair. Figure modified from Crane (1975)."	"The eight walking legs (also known as <strong>ambulatories</strong>) are numbered in pairs from the anterior (front) to the posterior (rear) of the crab. All of the legs have the same basic structure, although species-specific characters can vary across the legs.</p><p>Each limb is composed of seven segments (proximal to distal): <strong>coxa, basis, ischium, merus, carpus, manus,</strong> and <strong>dactyl.</strong> The first three (coxa, basis, and ischium) are small segments which attach the limb to the body of the crab. The merus is the first major segment, and the lagest on the limb.</p><p>The orientation of parts of the limbs and the segments of the limbs use the same terms as those used for the crab as the whole. The end of a segment closest to the body is the proximal end; the end of the segment farthest from the body is the distal end. The upper edge of the segment is the dorsal margin; the bottom edge is the ventral margin. The forward facing surface of the limb is the anterior surface; the rear facing surface is the posterior surface. Thus a reference to the proximal dorsal margin of the carpus would refer to the upper edge of the 5th segment (the 2nd major segment), near where the 4th and 5th segments join."
Basis	Major Cheliped	major_basis.png	"The basis of the major cheliped, from the ventral view of the crab. Figure modified from Crane (1975)."	"The basis is the second, small segment of the limb which connects the coxa to the ischium."
Carpus	Major Cheliped	major_carpus1.png|major_carpus2.png	"The carpus of the major cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The carpus of the major cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The fifth segment of the limb (and 2nd major segment), the carpus connects the merus to the manus (claw). It can be seen as the &ldquo;wrist&rdquo; of the cheliped."
Coxa	Major Cheliped	major_coxa.png	"The coxa of the of the major cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The coxa is the first, small segment of the limb which connects to the body of the crab."
Dactyl	Major Cheliped	major_dactyl1.png|major_dactyl2.png	"The dactyl of the major cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The dactyl of the major cheliped, from the exterior view of the claw (strictly speaking, the posterior surface of the claw if the limbs are spread). Figure modified from Crane (1975)."	The dactyl is the movable finger of the claw and the final sement of the limb.
Ischium	Major Cheliped	major_ischium.png	"The ischium of the of the major cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The third segment of the limb, the ischium is a small segment which connects the basis to the merus."
Manus	Major Cheliped	major_manus1.png|major_manus2.png|major_manus3.png	"The manus of the major cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The manus of the major cheliped, from the vental view of the crab. Figure modified from Crane (1975).|The manus of the major cheliped, from the exterior view of the claw (strictly speaking, the posterior surface of the claw if the limbs are spread). Figure modified from Crane (1975)."	"The manus is the segment making up most of the claw, including both the &ldquo;palm&rdquo; and the fixed, unmovable-finger (the pollex). The movable finger is the dactyl."
Merus	Major Cheliped	major_merus1.png|major_merus2.png	"The merus of the major cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The merus of the major cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The fourth segment of the limb (and 1st major segment), ther merus connects the ischium to the carpus. Taxonomic characters are sometimes found on the major merus."
Pollex	Major Cheliped	major_pollex1.png	"The pollex of the major cheliped, from the exterior view of the claw (strictly speaking, the posterior surface of the claw if the limbs are spread). Figure modified from Crane (1975)."	The pollex is the fixed &ldquo;finger&rdquo; of the claw (the movable finger is the dactyl). It is part of the manus; generally there is no specific point which delineartes the pollex from the &ldquo;palm&rdquo; of the claw. 
Basis	Minor Cheliped	minor_basis.png	"The basis of the minor cheliped, from the ventral view of the crab. Figure modified from Crane (1975)."	"The basis is the second, small segment of the limb which connects the coxa to the ischium."
Carpus	Minor Cheliped	minor_carpus1.png|minor_carpus2.png	"The carpus of the minor cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The carpus of the minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The fifth segment of the limb (and 2nd major segment), the carpus connects the merus to the manus (claw). It can be seen as the &ldquo;wrist&rdquo; of the cheliped."
Coxa	Minor Cheliped	minor_coxa.png	"The coxa of the of the minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The coxa is the first, small segment of the limb which connects to the body of the crab."
Dactyl	Minor Cheliped	minor_dactyl1.png|minor_dactyl2.png	"The dactyl of the minor cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The dactyl of the minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	The dactyl is the movable finger of the claw and the final sement of the limb.
Ischium	Minor Cheliped	minor_ischium.png	"The ischium of the of the minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The third segment of the limb, the ischium is a small segment which connects the basis to the merus."
Manus	Minor Cheliped	minor_manus1.png|minor_manus2.png	"The manus of the minor cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The manus of the minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The manus is the segment making up most of the claw, including both the &ldquo;palm&rdquo; and the fixed, unmovable-finger (the pollex). The movable finger is the dactyl."
Merus	Minor Cheliped	minor_merus1.png|minor_merus2.png	"The merus of the minor cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The merus of the minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	"The fourth segment of the limb (and 1st major segment), ther merus connects the ischium to the carpus."
Pollex	Minor Cheliped	minor_pollex1.png|minor_pollex2.png	"The pollex of the minor cheliped, from the dorsal view of the crab. Figure modified from Crane (1975).|The pollex of the minor cheliped, from the vental view of the crab. Figure modified from Crane (1975)."	The pollex is the fixed &ldquo;finger&rdquo; of the claw (the movable finger is the dactyl). It is part of the manus; generally there is no specific point which delineartes the pollex from the &ldquo;palm&rdquo; of the claw. 
Eyebrow	Orbits	orbit_eyebrow1.png|orbit_eyebrow2.png	Illustration of the eyestalks from the dorsal view. Figure modified from Crane (1975).|Illustration of eyestalks from the anterior view. Figure modified from Crane (1975).	The eyebrow is the extension of the carapace that sits above each orbit.
Eyestalk	Orbits	orbit_eyestalks1.png|orbit_eyestalks2.png	Illustration of the eyestalks from the dorsal view. Figure modified from Crane (1975).|Illustration of eyestalks from a side view. Figure modified from Crane (1975).	Fiddler crab eyes are on a pair of short stalks which start in the interior edge of the orbis. The carapace area in bewteen the eyestalks is the &ldquo;front&rdquo; of the crab and this distance between the stalks is used to identify the broad-front and narrow-front species.
Suborbital Margin	Orbits	suborbital_margin1.png|suborbital_margin2.png	Suborbital margin from the anterior view of the crab. Figure modified from Crane (1975).|Suborbital margin from the side view of the crab. Figure modified from Crane (1975).	The suborbital margin is the edge that runs along the bottom edge of the orbit.
Coxa	Walking Legs	leg_coxa1.png|leg_coxa2.png	"The coxa of the third and fourth pair of walking legs, from the dorsal view of the crab. Figure modified from Crane (1975).|The coxa of the of the first through third pairs of walking legs, from the vental view of the crab. Figure modified from Crane (1975)."	"The coxa is the first, small segment of the leg which connects to the body of the crab."
Basis	Walking Legs	leg_basis1.png|leg_basis2.png	"The basis of the third and fourth pair of walking legs, from the dorsal view of the crab. Figure modified from Crane (1975).|The basis of the of the first through third pairs of walking legs, from the vental view of the crab. Figure modified from Crane (1975)."	"The basis is the second, small segment of the leg which connects the coxa to the ischium."
Ischium	Walking Legs	leg_ischium1.png|leg_ischium2.png	"The ischium of the second through fourth pairs of walking legs, from the dorsal view of the crab. Figure modified from Crane (1975).|The ischium of the of the eight walking legs, from the vental view of the crab. Figure modified from Crane (1975)."	"The third segment of the leg, the ischium is a small segment which connects the basis to the merus."
Merus	Walking Legs	leg_merus1.png|leg_merus2.png|leg_merus3.png	"The meri of the eight walking legs, from the dorsal view of the crab. Figure modified from Crane (1975).|The meri of the eight walking legs, from the vental view of the crab. Figure modified from Crane (1975).|The parts of the merus, from a posterior view of a walking leg. Figure modified from Forest and Guinot (1961)."	"The fourth segment of the leg (and 1st major segment), ther merus connects the ischium to the carpus. The merus is the largest segment in the leg and often contains characters which can be used to distinguish between species."
Carpus	Walking Legs	leg_carpus1.png|leg_carpus2.png|leg_carpus3.png	"The carpuses of the eight walking legs, from the dorsal view of the crab. Figure modified from Crane (1975).|The carpuses of the eight walking legs, from the vental view of the crab. Figure modified from Crane (1975).|The parts of the carpus, from a posterior view of a walking leg. Figure modified from Forest and Guinot (1961)."	"The fifth segment of the leg (and 2nd major segment), the carpus connects the merus to the manus."
Manus	Walking Legs	leg_manus1.png|leg_manus2.png|leg_manus3.png	"The manuses of the eight walking legs, from the dorsal view of the crab. Figure modified from Crane (1975).|The manuses of the eight walking legs, from the vental view of the crab. Figure modified from Crane (1975).|The parts of the manus, from a posterior view of a walking leg. Figure modified from Forest and Guinot (1961)."	"The sixth segment of the leg (and 3rd major segment), the manus connects the carpus to the dactyl."
Dactyl	Walking Legs	leg_dactyl1.png|leg_dactyl2.png|leg_dactyl3.png	"The dactyls of the eight walking legs, from the dorsal view of the crab. Figure modified from Crane (1975).|The dactyls of the eight walking legs, from the vental view of the crab. Figure modified from Crane (1975).|The parts of the dactyl, from a posterior view of a walking leg. Figure modified from Forest and Guinot (1961)."	"The seventh and last segment of the leg, the dactyl represents the most distal end of the leg and is the part of the leg which actually touches the surface when the crab is walking."
