Level	Text
P	At some point a number of authors come to the erroneous conclusion that the name comes from the waving of the large claw (a concept that makes little sense if one thinks about it). In his 1886 book [[Kingsley1886,<em>The Standard Natural History</em>]], John S. Kingsley states (p. 64):
B	When these crabs are disturbed their claws are brandished in an amusing manner, strikingly suggestive of the motions of a violinist, whence these forms have received the common name of &ldquo;Fiddler Crabs.&rdquo;
P	Angelo Heilprin makes an even more confusing explanation in his 1888 book [[Heilprin1888,<em>The Animal Life of Our Sea-Shore</em>]] (p. 82).
B	When provoked, the animal brandishes this claw in a somewhat threatening manner, which has been likened to the pulling of a violin-bow&mdash;hence the name of 'fiddler'&mdash;and by others to the action of beckoning or calling (hence 'calling crabs').
P	And again in Johnson and Snook's book, [[Johnson1927,<em>Seashore Animals of the Pacific Cost</em> (1927)]], p. 400:
B	The males are frequently seen to brandish the large claw in a peculiar way. First, they reach out with it as far as it will go, then they bring it toward the body with a sudden movement. This motion which has probably suggested the name &ldquo;fiddler&rdquo; crab is carried on during the breeding season and is persecuted more vigorously when a female crab is nearby.
P	Similar confusing claims are made by [[Boyce1924,.out]], while [[Boone1927,.out]] returns to the resemblance of the large claw (without associated motion) (see quotes under &ldquo;Calling Crab&rdquo; below).
P	By 1888, Kingsley changes his explanation to a more sensible one in in a paper in [[Kingsley1888,<em>The American Naturalist</em> (p. 889-890)]]:
B	When you draw near the beach where these crabs are abundant, no matter how cautiously you have approached, there is a hurried rush of myraids of these crabs, each scuttling away as fast as four pairs of legs will carry it, to a a place of safety. At such a time the appropriateness of the common name is seen. In every direction are the fiddlers, each playing its small claw across the enormous fellow in the most amusing manner. No matter how often seen, one cannot help thinking of the musician&mdash;usually bald-headed&mdash;away down to the left of the orchestra, who so vigorously saws the bass notes from the viol. Let the latter scamper away, viol and all, as rapidly as does the crab, and the simile would be complete.
P	[[Paulmier1905,.out]] gives a similar explanation (p. 148):
B	These three species are commonly known as &ldquo;fiddlers&rdquo;; for, when running over the beach with the large claw held out in front of them and the small one sawing in front of it, they ludicrously resemble a man carrying a bass viol.
P	Some non-English speakers have picked up this term and translated fiddler crab into their own language, such as <b>Cangrejo Violinista</b> in Latin-American Spanish and <b>Caranguejo Violinista</b> in Brazilian Portuguese.
	
T	Calling Crab
P	Less commonly used in English, the term &ldquo;Calling Crab&rdquo; derives from one of the earliest scientific papers to include these crabs, [[Rumphius1705,.out]]. Rumphius names one of his species <em class="species">Cancer vocans</em>  which is Latin for &ldquo;calling crab&rdquo; or &ldquo;gesturing crab.&rdquo; He also reports the name &ldquo;Cattam Pangel&rdquo; which appears to most likely be a form of Malay meaning &ldquo;summoning crab,&rdquo; and is probably from where he derived the Latin name. In a later work [[Rumphius1711,.in]] he includes a Dutch name &ldquo;Roepende Krabbe,&rdquo; which also translates to Calling Crab.
P	The Latin name <em class="species">Cancer vocans</em> (today <em class="species">Uca vocans</em>) was adopted by [[Linnaeus1758,.out]] and became the general name under which this group was known in Continental Europe. By 1778, writing in French, [[DeGeer1778,DeGeer]] uses the French translation of this term &ldquo;Crabe appellant,&rdquo; which appears to become a general term for all of these crabs, not just the single species. Similarly, writing in German, [[Herbst1782,.out]] builds off the German word &ldquo;winken&rdquo; (which means wave, beckon, signal or hail) to call two versions of these crabs &ldquo;Der kleine Winker&rdquo; and &ldquo;Der grosse Winker&rdquo; (essentially &ldquo;the little waver&rdquo; and &ldquo;the great waver&rdquo;). Eventually, the entire group of crabs becomes becomes known as <b>Winkerkrabbe</b> (waving crabs) in German.
P	The term does find its way into English, such as [[Gosse1851,.out]] discussing Jamaica (p. 50-51):
B	At this time it is seen to be pierced with innumerable little holes; and hundres of a tiny Calling-crab (<em class="species">Gelasimus vocans</em>) are running over its surface, the males of which hold up their enormous claws in front, as if in defiance. At the approach of an intruder, every one hastens into his burrow, and in a moment the muddy bank, that was alive with the moving atoms, is perfectly still&hellip;The little Crabs are very swift and wary, so that it is difficult to capture them, except by making a sudden rush from a distance among them.
P	or [[Tennent1861,.out]] in Sri Lanka (p. 477-478):
B	...the nimble little Calling Crabs scamper over moist sands, carrying aloft the enormous hand (sometimes larger than the rest of the body), which is their peculiar characteristic, and which, from its beckoning gesture has suggested their popular name.
P	or [[Paulmier1905,.out]] in New York (p. 148):
B	The old specific name vocans was given them because, when the tide was out, they appeared to stand on the beach and wave their great claws, calling it back again.
P	[[Boyce1924,.out]] prefers &ldquo;Calling Crab&ldquo; to &ldquo;Fiddler Crab&rdquo;, at least in part due to his misunderstanding of where &ldquo;Fiddler Crab&rdquo; comes from (p. 250):
B	The enlarged chela is constantly being waived in the air as if beckoning or calling, and this has suggested the term Calling Crab. The alternate name, Fiddler Crab, is less appropriate, for the movement is really not suggestive of the action of a violinist drawing the bow across the strings.
P	[[Boone1927,.out]] also explains both names:
B	The odd aspect of this group of crabs, resulting from the strikingly disproportionate size attained by one of the claws in the male and the curious manner in which the little creatures handle the claw, has been a source of comment among the peoples of many lands, which has found expression in a series of quaint common names. Among English-speaking folk, it is known as the &ldquo;calling crab&rdquo; because it seems to be forever beckoning with its huge claws. Another name, and the one by the way, most widely used among the coasts of the southern United States is &ldquo;fiddler&rdquo; crab, from the fancied resemblance of the great claw to this musical instrument.
	
T	シオマネキ (Shio-maneki)
P	In 1835, [[deHaan1835,de Haan]] (writing in Latin) reports that the crab he calls <em class="species">Ocypode (Gelasimus) arcuata</em> (today <em class="species">Uca arcuata</em>) is known as &ldquo;Siho maneki&rdquo; in Japanese (シホマネキ). He translates this into Latin as &ldquo;maris refluxum annuens.&rdquo; This has generally been translated into English as &ldquo;beckoning for the return of the tide&rdquo; or &ldquo;tide caller.&rdquo;
P	This term is first mentioned in English by [[Boone1927,.out]] (p. 273):
B	The Japanese have woven a legend around the species of <em class="species">Uca</em> common in Japan, and give it the name <em>Siho maneki,</em> which means &ldquo;beckoning for the return of the tide.&rdquo;
P	Ricketts &amp; Calvin copy this in their book <em>Between Pacific Tides</em> (probably in the original 1939 edition, but definitely by the revised edition of 1948). For example, in the [[Ricketts1985,fifth edition (1985)]], on p. 356:
B	The Japanese call the fiddler crab <em>siho maneki,</em> which translates as &ldquo;beckoning for the return of the tide.&rdquo; It is too picturesque a name to quibble over, but one might reasonably ask why Mahomet does not go to the mountain, for the presumably free-willed fiddler digs its burrow as far away from the tide as it can get without abandoning the sea entirely.
P	Today there is a slight difference in the Japanese spelling (シオマネキ vs. シホマネキ) (note 2<sup>nd</sup> character) and English transliteration (&ldquo;shio-maneki&rdquo; vs. &ldquo;siho-maneki&rdquo;) than presented by de Haan and subsequent authors. I do not know if this change is due to the way we transliterate or represents an error by [[deHaan1835,.out]] which carried over to later authors.
	
T	Chama-maré
P	Brazilian Portuguese, translating to &ldquo;tide recaller&rdquo; in English. Not sure if this derives from the Japanese or if it independently evolved.
	
T	Maestro-sastre
P	Translates to &ldquo;master tailor&rdquo; in English. Rathbun ([[Rathbun1911,1911]], [[Rathbun1918.2,1918]]) reports this as a local name for <em class="species">Uca princeps</em> in Peru. Likely derives from the same feeding motion that gave rise to &ldquo;fiddler crab,&rdquo; with the motion of the small claw looking like someone rapidly sewing stitches.
P	[[Boone1927,.out]] also reports on this term (p. 273):
B	To the Peruvians these crabs are known as &ldquo;<em>maestro-sastre,</em>&rdquo; (master-tailor). Long before the coming of Columbus to the New World, these little crabs were woven in the folk-lore of the Indians who dwelt along the coast.
	
T	Deaf Ear Crabs
P	Common name on Jamaica. Appears to come from the superstition that deafness and earache could be cured by pouring the juice from a crushed living crab into the ear. [[Rathbun1918.2,.out]] reported hearing this story from P.W. Jarvis of Kingston, specifically in reference to <em class="species">Uca rapax.</em> [[Barnwell1986.1,.out]] reported that the name was generally applied to all fiddler crabs, although modern day residents didn't know the significance, the name apparently having stuck while the folklore apparently was lost.
	
T	Dhobi Crabs
P	[[Henderson1893,.out]] reports this as the local name on the eastern coast of India, near Madras (p. 329):
B	Locally the Gelasimi are known as &ldquo;dhobi crabs,&rdquo; doubtless from the resemblance of their beckoning movement to the manner in which the native washerman swings the clothes over his head in the act of pounding them against a flat stone.
P	This name is also mentioned by [[Gravely1927,.out]] as &ldquo;Dhobie Crabs.&rdquo;
	
T	Señorita
P	In a discussion of a number of fiddler species near Mazatlan, Mexico, [[Hendrickx1984]] lists three common names next to many of the species: &ldquo;fiddler crab,&rdquo; &ldquo;cangrejo violinista,&rdquo; and, uniquely, &rdquo;señorita.&ldquo The latter name is not explained, but is perhaps a local name for fiddler crabs on the Pacific coast of Mexico.
