taxon	level	parent	author	type	Notes	NCBITaxonID	EOLID
Minuca	genus	tribeMinucini	Bott1954	mordax	The genus <em class="species">Minuca</em> was originally erected as a subgenus to represent the broad-front fiddlers (as a contrast to the narrow-front species). It now represents one of the two broad-front American genera which make up the tribe Minucini. The relationships between these genera has been a little unclear as a number of species have been moved back and forth between them as our systematic understanding of the groups has been refined.	53288	4316243
Leptuca	genus	tribeMinucini	Bott1973.2	stenodactylus	The genus <em class="species">Leptuca</em> represents one of the two broad-front American genera which make up the tribe Minucini. The relationships between these genera has been a little unclear as a number of species have been moved back and forth between them as our systematic understanding of the groups has been refined.	6771	12020223
Petruca	genus	tribeMinucini	Shih2015.3	panamensis	This monotypic genus consists of the single species {{panamensis}}.	.	.
Austruca	genus	tribeGelasimini	Bott1973.2	lactea	This genus is the largest broad-front fiddler genus for species from the Indian and central-to-western Pacific Oceans.	1239987	33744938
Paraleptuca	genus	tribeGelasimini	Bott1973.2	chlorophthalmus	This small genus contains a few closely-related species with medium-to-broad fronts.	1239991	33744958
Cranuca	genus	tribeGelasimini	Beinlich2006	inversa	This monotypic genus consists of the single species {{inversa}}.	1239992	33744962
Gelasimus	genus	tribeGelasimini	Latreille1817.2	vocans	<em class="species">Gelasimus</em> was considered to be the primary fiddler crab genus for most of the 19<sup>th</sup> century, until it was shown that <em class="species">Uca</em> had priority ([[Rathbun1893,.in]]). Starting toward the end of the 20<sup>th</sup> century it was used as a subgenus of <em class="species">Uca.</em> It returned to genus status when fiddler crabs were separated into multiple genera ([[Shih2016.2,.in]]).	1239990	3119013
Tubuca	genus	tribeGelasimini	Bott1973.2	urvillei	This large genus contains most of the narrow-front fiddler species found in the Indian and central-to-western Pacific Oceans.	1239988	33744946
Xeruca	genus	tribeGelasimini	Shih2015.2	formosensis	This monotypic genus consists of the single species {{formosensis}}.	.	.
Australuca	subgenus	genusTubuca	Crane1975	bellator	<em class="species">Australuca</em> was originally a subgenus of <em class="species">Uca.</em> It was eventually abandoned when found to be a subset of another subgenus, btu with the <em class="species">Tubuca</em> now considered a genus in its own right, <em class="species">Australuca</em> can serve as a subgenus within it. All but one of the narrow-front fiddler species in this genus are restricted to Australia.	53284	12020232
Tubuca	subgenus	genusTubuca	Bott1973.2	urvillei	This subgenus contains most of the species that had long been considered part of the genus when it was still a subgenus of <em class="species">Uca.</em>	.	.
Angustuca	subgenus	genusTubuca	.	acuta	This subgenus of <em class="species">Tubuca</em> contains three closely-related species that [[Crane1975,.out]] had considered a superspecies complex under the name <em class="species">acuta</em>.	.	.
Mesuca	subgenus	genusGelasimus	Bott1973.2	tetragonon	This monotypic subgenus within the genus <em class="species">Gelasimus</em>contains the species {{tetragonon}}.	.	.
Gelasimus	subgenus	genusGelasimus	Latreille1817.2	vocans	The subgenus <em class="species">Gelasimus,</em> within the genus <em class="species">Gelasimus,</em> contains the species often unofficially referred to as the <em class="species">vocans-</em>species group. It is the six species identified by [[Crane1975,.out]] as subspecies of {{vocans}}, along with an additional species subsequently split from that group.	.	.
Cuneatuca	subgenus	genusAustruca	.	triangularis	The subgenus <em class="species">Cuneatuca,</em> within the genus <em class="species">Austruca,</em> contains the two very small, closely-related species that [[Crane1975,.out]] had combined into the single species <em class="species">Uca triangualris</em>.	.	.
Sinduca	subgenus	genusAustruca	.	sindensis	This monotypic subgenus within the genus <em class="species">Austruca</em> contains the species {{sindensis}}.	.	.
Austruca	subgenus	genusAustruca	Bott1973.2	lactea	The subgenus <em class="species">Austruca,</em> within the genus <em class="species">Austruca,</em> contains the species often unofficially referred to as the <em class="species">lactea-</em>species group. It is the four species identified by [[Crane1975,.out]] as subspecies of {{lactea}}, along with additional species subsequently split from that group.	.	.
Uca	subgenus	genusUca	Leach1814	major	This subgenus is a bit of a catch-all for the species in the genus that are not part of the subgenus <em class="species">Acanthoplax.</em>	.	.
Acanthoplax	subgenus	genusUca	MilneEdwards1852	insignis	This subgenus within the genus <em class="species">Uca</em> contains a number of very large species whose major claws have strikingly large and flat pollex and dactyl.	.	.
