Full Location Name	Latitude	Longitude	Public Notes	Private Notes	Trimmed Name	Alternate Names	Parent	Secondary Parents	Validity
Panama	9.125915	-79.882527	.	Middle of country	Panama	.	.	Central America	.
Papua New Guinea	-6.138347	144.020254	.	.	Papua New Guinea	.	.	Western Pacific Ocean;New Guinea	.
Penrhyn Atoll, Cook Islands	-9.005556	-157.969444	.	.	Penrhyn Atoll	.	Cook Islands	.	.
Persian Gulf	27.082272	51.398815	.	Using center of gulf	Persian Gulf	Arabian Gulf	.	Middle East	.
Peru	-12.065965	-77.160180	.	Using Lima	Peru	.	.	Pacific coast of South America	.
Philippines	12.054183	123.139648	.	.	Philippines	.	.	Western Pacific Ocean;Malay Archipelago	.
Portugal	37.116667	-7.650000	.	Using Tavira	Portugal	.	.	Europe	.
Puerto Rico	18.240439	-66.499657	.	.	Puerto Rico	.	.	Caribbean;Greater Antilles	.
Red Sea	20.250231	38.641593	.	Using center of sea	Red Sea	.	.	Indian Ocean	.
Republic of the Congo	-4.769496	11.862230	.	Using Point-Noire	Republic of the Congo	.	.	Africa;Atlantic coast of Africa	.
Reunion Island	-21.123586	55.529219	.	.	Reunion Island	.	.	Mascarene Islands	.
Saint Barthélemy	17.900000	-62.833333	.	.	Saint Barthélemy	.	.	Caribbean;Leeward Islands, Lesser Antilles	.
Saint Martin	18.066667	-63.050000	.	.	Saint Martin	.	.	Caribbean;Leeward Islands, Lesser Antilles	.
Samoa	-13.833333	-171.750000	.	.	Samoa	Navigator Islands	.	Polynesia	.
São Tomé and Príncipe	1.000000	7.000000	.	.	São Tomé and Príncipe	.	.	Africa;Atlantic coast of Africa;Gulf of Guinea	.
Saudi Arabia	24.267514	46.019311	.	.	Saudi Arabia	.	.	Middle East	.
Sea of Japan	39.895520	133.785243	.	.	Sea of Japan	.	.	Western Pacific Ocean	.
Senegal	14.763933	-17.364775	.	Using Dakar	Senegal	.	.	Africa;Atlantic coast of Africa	.
Seychelles	-4.616667	55.450000	.	Using Victoria	Seychelles	.	.	Indian Ocean	.
Sierra Leone	7.998013	-12.901691	.	.	Sierra Leone	.	.	Africa;Atlantic coast of Africa	.
Singapore	1.285933	103.869031	.	.	Singapore	.	.	Western Pacific Ocean;Malay Archipelago	.
Solomon Islands	-8.000000	159.000000	.	.	Solomon Islands	.	.	Melanesia	.
Somalia	2.048736	45.320912	.	Using Mogadishu	Somalia	.	.	Africa;Indian coast of Africa	.
South Africa	-29.876945	31.039842	.	Using Durban	South Africa	.	.	Africa;Indian coast of Africa;Southeastern Africa	.
South America	-5.900000	-60.600000	.	.	South America	.	.	.	.
Southeastern Africa	-25.983333	32.700000	.	Using Maputo Bay	Southeastern Africa	.	Africa	Indian coast of Africa	.
Spain	36.529167	-6.191944	.	Using Puerto Real	Spain	.	.	Europe	.
Sri Lanka	6.922942	79.846627	.	Using Colombo	Sri Lanka	Ceylon	.	Bay of Bengal	.
Sudan	19.606495	37.228945	.	Using Port Sudan	Sudan	.	.	Red Sea;Africa	.
Suriname	5.899834	-55.203948	.	Using Paramaribo	Suriname	Surinam	.	Atlantic coast of South America	.
Taiwan	23.830101	120.891862	.	.	Taiwan	Formosa	.	Western Pacific Ocean	.
Tanzania	-6.800000	39.283333	.	Also known as Zanzibar; using Dar es Salaam	Tanzania	Zanzibar	.	Africa;Indian coast of Africa	.
Thailand	8.362382	99.291912	.	Middle of peninsular region	Thailand	Siam	.	.	.
The Bahamas	24.689207	-76.376733	.	.	The Bahamas	.	.	Lucayan Archipelago	.
Timor	-9.233333	124.933333	.	.	Timor	.	.	Indian Ocean	.
Tonga	-21.133333	-175.200000	.	.	Tonga	Toga	.	Polynesia	.
Torres Strait	-9.833333	142.500000	.	Between Australian and New Guinea	Torres Strait	.	.	Western Pacific Ocean	.
Trinidad and Tobago	10.408617	-61.281522	.	.	Trinidad and Tobago	.	.	Caribbean;Lesser Antilles	.
Tuvalu	-7.478676	178.678293	.	.	Tuvalu	.	.	Polynesia	.
U.S. Virgin Islands	18.332109	-64.939288	.	.	U.S. Virgin Islands	.	.	Caribbean;Leeward Islands, Lesser Antilles	.
Ukraine	46.466667	30.733333	Milne Edwards reported an occurrence of a species from Odessa. Fiddler crabs are clearly not found in the Black Sea, so either the location was wrong or he was referring to another unidentified location of the same name.	Using Odessa	Ukraine	.	.	Europe	X
United Arab Emirates	24.574100	54.597074	.	.	United Arab Emirates	.	.	Middle East	.
United States	36.546460	-75.953140	.	Point near NC/VA border	United States	.	.	.	.
Uruguay	-34.883611	-56.181944	.	Using Montevideo	Uruguay	.	.	Atlantic coast of South America	.
Vanuatu	-16.000000	167.000000	.	.	Vanuatu	New Hebrides	.	Melanesia	.
Venezuela	10.487106	-66.956479	.	Using Caracas	Venezuela	.	.	Atlantic coast of South America	.
Vietnam	15.962079	108.191863	.	.	Vietnam	Annam	.	Western Pacific Ocean	.
Wake Island	19.300000	166.633333	.	.	Wake Island	.	.	Micronesia	.
Wallis and Futuna	-14.286226	-178.135660	.	.	Wallis and Futuna	.	.	Polynesia	.
West Indies	21.983330	-79.033300	.	.	West Indies	.	.	Western Atlantic Ocean	.
Yemen	14.010497	47.900897	.	.	Yemen	.	.	Middle East	.
Atlantic coast of Africa	14.763933	-17.364775	.	Using Senegal	Atlantic coast of Africa	.	Africa	Eastern Atlantic Ocean	.
Dauphin Island, Mobile County, Alabama, USA	30.256883	-88.113024	.	.	Dauphin Island	.	Mobile County, Alabama, USA	.	.
Gravine Island, Baldwin County, Alabama, USA	30.787163	-87.928778	.	.	Gravine Island	.	Baldwin County, Alabama, USA	.	.
Mobile Bay, Alabama, USA	30.459862	-87.980753	.	.	Mobile Bay	.	Alabama, USA	.	.
Mobile, Mobile County, Alabama, USA	30.699352	-88.042586	.	.	Mobile	.	Mobile County, Alabama, USA	.	.
Andaman Islands	12.500000	92.750000	.	.	Andaman Islands	.	Andaman and Nicobar Islands, India	.	.
Nicobar Islands	7.083333	93.800000	.	.	Nicobar Islands	.	Andaman and Nicobar Islands, India	.	.
Cabinda, Angola	-5.551302	12.185129	.	.	Cabinda	Chinchoxo	Angola	.	.
Congo River, Angola	-6.067362	12.458098	.	.	Congo River	.	Angola	.	.
Lobito Bay, Angola	-12.333333	13.566667	.	.	Lobito Bay	.	Angola	.	.
Luanda, Angola	-8.838333	13.234444	.	.	Luanda	St. Paul de Loanda	Angola	.	.
Antigua, Antigua and Barbuda	17.079532	-61.813649	.	.	Antigua	.	Antigua and Barbuda	.	.
Barbuda, Antigua and Barbuda	17.615555	-61.791627	.	.	Barbuda	.	Antigua and Barbuda	.	.
Lesser Antilles	14.233333	-61.350000	.	.	Lesser Antilles	.	Antilles	.	.
Chacopata Lagoon Complex, Araya Peninsula, Sucre, Venezuela	10.666667	-63.766667	.	.	Chacopata Lagoon Complex	.	Araya Peninsula, Sucre, Venezuela	.	.
Bahía Samborombón, Buenos Aires Province, Argentina	-36.056485	-57.319342	.	.	Bahía Samborombón	.	Buenos Aires Province, Argentina	.	.
Ciudad de Buenos Aires, Argentina	-34.591311	-58.366439	City	.	Ciudad de Buenos Aires	Bonaerense	Argentina	.	.
Mar Chiquita, Buenos Aires Province, Argentina	-37.766667	-57.450000	.	coords from paper	Mar Chiquita	.	Buenos Aires Province, Argentina	.	.
Kobroor Island, Maluku Province, Maluku Islands, Indonesia	-5.500000	134.583333	.	.	Kobroor Island	Manoembaai	Maluku Province, Maluku Islands, Indonesia	.	.
Baranquilla, Atlántico, Colombia	11.021367	-74.793653	.	.	Baranquilla	.	Atlántico, Colombia	.	.
Cartagena, Bolívar, Colombia	10.415675	-75.493653	.	.	Cartagena	.	Bolívar, Colombia	.	.
Sabanilla, Atlántico, Colombia	11.031667	-74.922500	.	.	Sabanilla	.	Atlántico, Colombia	.	.
Santa Marta, Magdalena, Colombia	11.241944	-74.205278	.	.	Santa Marta	.	Magdalena, Colombia	.	.
Gulf of Mexico	25.398015	-90.076438	.	.	Gulf of Mexico	.	Atlantic coast of North America	.	.
Atlantic and Gulf coasts of United States	25.145078	-80.706459	.	Using tip of Florida	Atlantic and Gulf coasts of United States	.	United States	North America;Atlantic coast of North America	.
Western Atlantic Ocean	15.029686	-83.415242	.	Point near Northern Nicaragua	Western Atlantic Ocean	Atlantic coast of the Americas;East coast of the Americas	Atlantic Ocean	.	.
Eastern Atlantic Ocean	14.692778	-17.446667	.	.	Eastern Atlantic Ocean	.	Atlantic Ocean	.	.
Bass Islands, Austral Islands, French Polynesia	-27.750000	-143.916667	.	.	Bass Islands	.	Austral Islands, French Polynesia	.	.
Ra'ivāvae, Tupua'I Islands, Austral Islands, French Polynesia	-23.866667	-147.666667	.	.	Ra'ivāvae	.	Tupua'I Islands, Austral Islands, French Polynesia	.	.
Tupua'I Islands, Austral Islands, French Polynesia	-22.981016	-150.009445	.	.	Tupua'I Islands	.	Austral Islands, French Polynesia	.	.
Eastern Australia	-23.850531	151.262747	.	Using middle eastern coast Queensland	Eastern Australia	.	Australia	.	.
Great Barrier Reef, Queensland, Australia	-15.750000	145.000000	.	.	Great Barrier Reef	.	Queensland, Australia	.	.
Gulf of Carpentaria, Australia	-14.000000	139.000000	.	.	Gulf of Carpentaria	.	Australia	Northern Australia	.
New South Wales, Australia	-30.296582	153.117426	State	Using Coffs Harbour	New South Wales	.	Australia	Eastern Australia;Western Pacific Ocean	.
Northern Australia	-12.450000	130.833333	.	Using Darwin	Northern Australia	.	Australia	.	.
Northern Territory, Australia	-12.450000	130.833333	State	Using Darwin	Northern Territory	.	Australia	Northern Australia;Western Pacific Ocean	.
Queensland, Australia	-23.850531	151.262747	State	Using middle eastern coast	Queensland	.	Australia	Western Pacific Ocean	.
Western Australia, Australia	-22.156211	113.813839	State	.	Western Australia	.	Australia	Indian Ocean	.
San Clemente Tidal Creek, Bahía Samborombón, Buenos Aires Province, Argentina	-36.366667	-56.750000	.	coords from paper	San Clemente Tidal Creek	.	Bahía Samborombón, Buenos Aires Province, Argentina	.	.
Baía de Todos os Santos, Bahia, Brazil	-12.768999	-38.654480	.	.	Baía de Todos os Santos	.	Bahia, Brazil	.	.
Caravelas, Bahia, Brazil	-17.731944	-39.265833	.	.	Caravelas	.	Bahia, Brazil	.	.
Plataforma, Bahia, Brazil	-12.903291	-38.489786	.	.	Plataforma	.	Bahia, Brazil	.	.
Porto Seguro, Bahia, Brazil	-16.433333	-39.083333	.	.	Porto Seguro	.	Bahia, Brazil	.	.
Bahía Agua Verde, Baja California Sur, Mexico	25.521921	-111.066526	.	.	Bahía Agua Verde	.	Gulf coast of Baja California Sur, Mexico	.	.
Bahia de Concepcion, Baja California Sur, Mexico	26.712686	-111.838384	.	.	Bahia de Concepcion	.	Gulf coast of Baja California Sur, Mexico	.	.
Ballandra Bay, Baja California Sur, Mexico	24.318971	-110.325340	.	.	Ballandra Bay	.	Gulf coast of Baja California Sur, Mexico	.	.
Cabo San Lucas, Baja California Sur, Mexico	22.889722	-109.915556	.	Tip of Baja California	Cabo San Lucas	.	Pacific coast of Baja California Sur, Mexico	.	.
Isla Espirito Santo, Baja California Sur, Mexico	24.479597	-110.346113	.	.	Isla Espirito Santo	.	Gulf coast of Baja California Sur, Mexico	.	.
Isla San José, Baja California Sur, Mexico	24.976525	-110.625378	.	.	Isla San José (Mexico)	.	Gulf coast of Baja California Sur, Mexico	.	.
La Paz, Baja California Sur, Mexico	24.159079	-110.322095	.	.	La Paz (Mexico)	.	Gulf coast of Baja California Sur, Mexico	.	.
Laguna Guerrero Negro, Baja California Sur, Mexico	27.898717	-114.159419	.	.	Laguna Guerrero Negro	.	Pacific coast of Baja California Sur, Mexico	.	.
Magdalena Bay, Baja California Sur, Mexico	24.599086	-111.982847	.	.	Magdalena Bay	.	Pacific coast of Baja California Sur, Mexico	.	.
Pichilinque, Baja California Sur, Mexico	24.276111	-110.327778	.	Near La Paz	Pichilinque	.	Pacific coast of Baja California Sur, Mexico	.	.
Puerto San Bartolomé, Baja California Sur, Mexico	27.666667	-114.883333	.	.	Puerto San Bartolomé	.	Pacific coast of Baja California Sur, Mexico	.	.
Punta Abreojos, Baja California Sur, Mexico	26.714444	-113.572222	.	.	Punta Abreojos	.	Pacific coast of Baja California Sur, Mexico	.	.
San José del Cabo, Baja California Sur, Mexico	23.048625	-109.681744	.	Tip of Baja California	San José del Cabo	.	Pacific coast of Baja California Sur, Mexico	.	.
San Luis Gonzaga Bay, Baja California, Mexico	29.766941	-114.348196	.	.	San Luis Gonzaga Bay	.	Gulf coast of Baja California, Mexico	.	.
Santo Domingo, Baja California Sur, Mexico	25.525681	-112.064323	.	.	Santo Domingo (Mexico)	.	Pacific coast of Baja California Sur, Mexico	.	.
Todos Santos, Baja California Sur, Mexico	23.451166	-110.248651	.	.	Todos Santos	.	Pacific coast of Baja California Sur, Mexico	.	.
Colorado River, Baja California, Mexico	31.821489	-114.818488	.	Gulf of California	Colorado River	.	Gulf coast of Baja California, Mexico	.	.
Isla Ángel de la Guarda, Baja California, Mexico	29.349063	-113.437140	.	.	Isla Ángel de la Guarda	Archangel Island	Gulf coast of Baja California, Mexico	.	.
Isla Rasa, Baja California, Mexico	28.823922	-112.980286	.	.	Isla Rasa	.	Gulf coast of Baja California, Mexico	.	.
Isla San Lorenzo, Baja California, Mexico	28.634083	-112.819868	.	.	Isla San Lorenzo	.	Gulf coast of Baja California, Mexico	.	.
Pacific coast of Baja California	29.974126	-115.827795	.	.	Pacific coast of Baja California	.	Baja California, Mexico	.	.
San Felipe Bay, San Felipe, Baja California, Mexico	31.020937	-114.832990	.	.	San Felipe Bay	.	San Felipe, Baja California, Mexico	.	.
San Felipe, Baja California, Mexico	32.021234	-113.834964	.	.	San Felipe	.	Gulf coast of Baja California, Mexico	.	.
La Boca, Balboa, Panama City, Panama	8.947882	-79.566969	.	.	La Boca	.	Balboa, Panama City, Panama	.	.
Sundarbans, Bangladesh	21.949722	89.183330	.	.	Sundarbans (Bangladesh)	Sunderbunds	Bangladesh	.	.
Rapa, Bass Islands, Austral Islands, French Polynesia	-27.600000	-144.333333	.	.	Rapa	Rapa Iti	Bass Islands, Austral Islands, French Polynesia	.	.
San Pedro River, Bay of Cádiz, Cádiz, Andalusia, Spain	36.525897	-6.229644	.	.	San Pedro River	.	Bay of Cádiz, Cádiz, Andalusia, Spain	.	.
Chulliyachi, Bay of Sechura, Sechura Province, Piura Region, Peru	-5.614322	-80.861335	.	.	Chulliyachi	.	Bay of Sechura, Sechura Province, Piura Region, Peru	.	.
Pivers Island, Beaufort, Carteret County, North Carolina, USA	34.716991	-76.671251	.	.	Pivers Island	.	Beaufort, Carteret County, North Carolina, USA	.	.
Neches River, Beaumont, Jefferson County, Texas, USA	30.024649	-94.027343	.	.	Neches River	.	Beaumont, Jefferson County, Texas, USA	.	.
Mira River, Beja, Portugal	37.721311	-8.784831	.	.	Mira River	.	Beja, Portugal	.	.
Turneffe Atoll, Belize	17.435803	-87.832827	.	.	Turneffe Atoll	.	Belize	.	.
Panglao, Bohol, Philippines	9.583333	123.750000	.	.	Panglao	.	Bohol, Philippines	.	.
Northwestern Borneo	3.181282	113.038717	.	Using Bintulu	Northwestern Borneo	.	Borneo	.	.
Pontianak, West Kalimantan, Borneo, Indonesia	-0.005549	109.318355	.	.	Pontianak	.	West Kalimantan, Borneo, Indonesia	.	.
Samarinda, East Kalimantan, Borneo, Indonesia	-0.501399	117.134707	.	.	Samarinda	.	East Kalimantan, Borneo, Indonesia	.	.
Sarawak, Borneo, Malaysia	3.181282	113.038717	.	Using Bintulu	Sarawak	.	Borneo, Malaysia	.	.
Bahia, Brazil	-12.932341	-38.656283	State	.	Bahia	.	Brazil	Eastern Brazil	.
Ceará, Brazil	-3.719406	-38.512336	State	.	Ceará	.	Brazil	Northern Brazil	.
Eastern Brazil	-20.294260	-40.324490	The states in the northeastern region, south of Rio Grande do Norte	Using Vitoria	Eastern Brazil	.	Brazil	.	.
Espírito Santo, Brazil	-20.294260	-40.324490	State	Using Vitoria	Espírito Santo	.	Brazil	Southeastern Brazil	.
Maranhão, Brazil	-2.479675	-44.229795	State	.	Maranhão	.	Brazil	Northern Brazil	.
Northern Brazil	-2.479675	-44.229795	The states on the north coast of Brazil	Using Maranhão	Northern Brazil	.	Brazil	.	.
Pará, Brazil	-1.465995	-48.817376	State	.	Pará	.	Brazil	Northern Brazil	.
Paraíba, Brazil	-7.049982	-34.825901	State	.	Paraíba	.	Brazil	Eastern Brazil	.
Paraná, Brazil	-25.568232	-48.375813	State	.	Paraná	.	Brazil	Southeastern Brazil	.
Pernambuco, Brazil	-8.230291	-34.943247	State	.	Pernambuco	.	Brazil	Eastern Brazil	.
Piauí , Brazil	-2.896894	-41.552142	State	.	Piauí 	.	Brazil	Northern Brazil	.
Rio de Janeiro, Brazil	-22.881464	-43.184756	State	.	Rio de Janeiro	.	Brazil	Southeastern Brazil	.
Rio Grande do Norte, Brazil	-5.082587	-35.755867	State	.	Rio Grande do Norte	.	Brazil	Northern Brazil	.
São Paulo, Brazil	-23.968119	-46.345005	State	Using Santos	São Paulo	.	Brazil	Southeastern Brazil	.
Sergipe, Brazil	-10.947084	-37.043068	State	.	Sergipe	.	Brazil	Eastern Brazil	.
Southeastern Brazil	-22.881464	-43.184756	The coastal states in the southeast and south regions	Using Rio	Southeastern Brazil	.	Brazil	.	.
