species	#	activity	caption	length	width	height	format	date/place	author	notes
terpsichores	6	display	Male {{terpsichores}} waving	1:26 min.	352	240	MP4	Rodman Naval Base, Panama (October 7, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
batuenta;saltitanta	1	fighting	Interspecific agression between male {{batuenta}} (on right) and male {{saltitanta}} (on left) 	23 sec.	352	240	MP4	Rodman Naval Base, Panama (November 14, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
beebei	1	fighting	Male {{beebei}} waving and fighting ({{stylifera}} in foreground at start of clip)	55 sec.	352	240	MP4	Rodman Naval Base, Panama (November 16, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
beebei	3	fighting	Male {{beebei}} waving and fighting	57 sec.	352	240	MP4	Rodman Naval Base, Panama (November 16, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
beebei	5	fighting	Male {{beebei}} waving with small fight	35 sec.	352	240	MP4	Rodman Naval Base, Panama (October 1, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
deichmanni	4	fighting	Male {{deichmanni}} fighting, with two flips/throws	14 sec.	352	240	MP4	Naos, Panama (November 28, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
stylifera	3	fighting	Male {{stylifera}} fighting	40 sec.	352	240	MP4	Rodman Naval Base, Panama (November 16, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
stylifera	4	fighting	Male {{stylifera}} waving and fighting	2:27 min.	352	240	MP4	Rodman Naval Base, Panama (November 16, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
terpsichores	7	fighting	Male {{terpsichores}} displaying, with quick grab and throw (~36 sec. into clip)	58 sec.	352	240	MP4	Rodman Naval Base, Panama (October 7, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
terpsichores	8	fighting	Male {{terpsichores}} fighting	1:05 min.	352	240	MP4	Rodman Naval Base, Panama (October 1, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
terpsichores	9	fighting	Male {{terpsichores}} fighting	18 sec.	352	240	MP4	Rodman Naval Base, Panama (October 1, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
stenodactylus	4	female	Female {{stenodactylus}} rejection display	50 sec.	352	240	MP4	Rodman Naval Base, Panama (October 3, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
stenodactylus	3	female	Female {{stenodactylus}} rejection display, with attempted male herding	1:18 min.	352	240	MP4	Rodman Naval Base, Panama (October 3, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
inaequalis	4	mating	Surface mating in {{inaequalis}}	3:51 min.	352	240	MP4	Rodman Naval Base, Panama (November 14, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
stylifera	2	mating	Surface mating in {{stylifera}}	1:42 min.	352	240	MP4	Rodman Naval Base, Panama (October 7, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
stylifera	7	mating	Surface mating in {{stylifera}}	2:03 min.	352	240	MP4	Rodman Naval Base, Panama (October 7, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
argillicola	1	misc	Male {{argillicola}} feeding outside of burrow	37 sec.	352	240	MP4	Diablo Creek, Diablo, Panama (November 3, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
argillicola	2	misc	Male {{argillicola}} retreating into burrow	14 sec.	352	240	MP4	Diablo Creek, Diablo, Panama (November 3, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
argillicola	3	misc	Male {{argillicola}} feeding outside of burrow	25 sec.	352	240	MP4	Diablo Creek, Diablo, Panama (November 3, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
beebei	4	misc	Male {{beebei}} evicts female from burrow, then digs a bit to make it larger	59 sec.	352	240	MP4	Rodman Naval Base, Panama (November 16, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
deichmanni	3	misc	Gravid female {{deichmanni}} digging and moving mudballs	34 sec.	352	240	MP4	Rodman Naval Base, Panama (November 28, 1997)	© 2003 by Michael S. Rosenberg	Originally filmed on Hi8 tape
occidentalis	1	fighting	Male and female {{occidentalis}} (labeled <em class="species">Uca annulipes albimana</em>)  on mud banks in the estuary of the Mtwapa-Creek near Mombasa (Kenya) performing various activities: feeding by males and females, fighting and waving by the males, etc.	8:48 min.	768	576	MP4	Mtwapa-Creek near Mombasa, Kenya (1968-1970)	<a href="http://creativecommons.org/licenses/by-nc-nd/3.0/de/deed.en">CC Attribution - NonCommercial - NoDerivatives 3.0 Germany</a>	Originally filmed on 16mm film. Obtained from <a href="https://doi.org/10.3203/IWF/E-2469">doi:10.3203/IWF/E-2469</a>.
