Type	Ref	Author	Year	Title	Image	ext	species	Notes
science	Owen1839	Owen	1839	Gelasimus minor	Owen_Gelasimus_minor	jpg	perplexa	This drawing is from Owen (1839). He labels it <em class="species">Gelasimus minor.</em> There is a lot of ambiguity about the species represented in this diagram (likely incorrect sampling location, no extent specimen with confusing labeling in records), although a variety of evidence led Crane (1975) to believe it was most likely {{perplexa}}.
science	MilneEdwards1843	Milne Edwards	1843	Gelasimus stenodactylus	MilneEdwards_Gelasimus_stenodactylus	jpg	stenodactylus	This drawing is from Milne Edwards (1837). He labels it <em class="species">Gelasimus stenodactylus.</em>
science	MilneEdwards1843	Milne Edwards	1843	Gelasimus macrodactylus	MilneEdwards_Gelasimus_macrodactylus	jpg	galapagensis	This drawing is from Milne Edwards (1837). He labels it <em class="species">Gelasimus macrodactylus,</em> today known as {{galapagensis}}.
science	DeKay1844	De Kay	1844	Gelasimus vocans	DeKay_Gelasimus_vocans	jpg	pugilator	This drawing is from De Kay (1844). He called this species <em class="species">Gelasimus vocans.</em> It is almost certainly {{pugilator}}. A second figure of a "Variety A" is probably {{pugnax}}. Note that the major claw is drawn backwards (i.e., it is a right major claw on a left-handed crab). This figure was probably based on a collected specimen missing the major cheliped and the one they replaced it with for the drawing was a right (and not a left) major cheliped.
science	DeKay1844	De Kay	1844	Gelasimus vocans, Variety A	DeKay_Gelasimus_vocans_varA	jpg	pugnax	This drawing is from De Kay (1844). He called this species <em class="species">Gelasimus vocans, Var. A.</em> It is probably {{pugnax}}. A second drawing is probably {{pugilator}}.
science	Hilgendorf1869	Hilgendorf	1869	Gelasimus Dussumieri	Hilgendorf_Gelasimus_Dussumieri	jpg	urvillei	This drawing is from Hilgendorf (1869). He called this species <em class="species">Gelasimus Dussumieri,</em> but it is actually {{urvillei}}.
science	MilneEdwards1873	Milne-Edwards	1873	Gelasimus coarctatus	Milne-Edwards_Gelasimus_coarctatus1	jpg	coarctata	This drawing is from Milne-Edwards (1873). He labels it <em class="species">Gelasimus coarctatus.</em> An accompanying figure is just of the major claw.
science	MilneEdwards1873	Milne-Edwards	1873	Gelasimus coarctatus	Milne-Edwards_Gelasimus_coarctatus2	jpg	coarctata	This drawing is from Milne-Edwards (1873). He labels it <em class="species">Gelasimus coarctatus.</em> An accompanying figure is of the whole crab.
science	Filhol1885.2	Filhol	1885	Gelassimus Huttoni	Filhol_Gelassimus_Huttoni1	jpg	n/a	This drawing is from Filhol (1885). He labels it <em class="species">Gelassimus Huttoni.</em> It is not clear what species this represents as the type is lost and the supposed collection location, New Zealand, is not known to have any fiddler crabs.
science	Filhol1885.2	Filhol	1885	Gelassimus Huttoni	Filhol_Gelassimus_Huttoni2	jpg	n/a	This drawing is from Filhol (1885). He labels it <em class="species">Gelassimus Huttoni.</em> It is not clear what species this represents as the type is lost and the supposed collection location, New Zealand, is not known to have any fiddler crabs.
science	Filhol1885.2	Filhol	1885	Gelassimus Huttoni	Filhol_Gelassimus_Huttoni3	jpg	n/a	This drawing is from Filhol (1885). He labels it <em class="species">Gelassimus Huttoni.</em> It is not clear what species this represents as the type is lost and the supposed collection location, New Zealand, is not known to have any fiddler crabs.
science	Kingsley1886	Kingsley	1886	Gelasimus pugilator	Kingsley_Gelasimus_pugilator	png	pugilator	This drawing is from Kingsley (1886). He labels it <em class="species">Gelasimus pugilator.</em> 
science	Heilprin1888	Heilprin	1888	Gelasimus vocator	Heilprin_Gelasimus_vocator	png	pugnax	This drawing is from Heilprin (1888), but is a reproduction from De Kay (1844). He labels it <em class="species">Gelasimus vocator,</em> but it is actually {{pugnax}}.
science	Blanchard1890	Blanchard	1890	Gelasimus	Blanchard_Gelasimus	png	annulipes	This drawing is from Blanchard (1890), but is a reproduction from Milne Edwards (1837). He labels it <em class="species">Gelasimus,</em> but it is baed on the type figure of the species {{annulipes}}.
science	deMan1891	De Man	1891	Gelasimus signatus	deMan_Gelasimus_signatus	png	signata	This drawing is from de Man (1891). He labels it <em class="species">Gelasimus signatus.</em> 
science	deMan1891	De Man	1891	Gelasimus tetragonon	deMan_Gelasimus_tetragonon	png	tetragonon	This drawing is from de Man (1891). He labels it <em class="species">Gelasimus tetragonon.</em> 
science	deMan1891	De Man	1891	Gelasimus arcuatus	deMan_Gelasimus_arcuatus_claw	png	arcuata	This drawing is from de Man (1891). He labels it <em class="species">Gelasimus arcuatus.</em> 
science	deMan1891	De Man	1891	Gelasimus forcipatus	deMan_Gelasimus_forcipatus_claw	png	forcipata	This drawing is from de Man (1891). He labels it <em class="species">Gelasimus forcipatus.</em> 
science	deMan1891	De Man	1891	Gelasimus vocans	deMan_Gelasimus_vocans_claw	png	vocans	This drawing is from de Man (1891). He labels the claw on the left as <em class="species">Gelasimus vocans</em>  and the one on the right as <em class="species">Gelasimus vocans var. cultrimana.</em> Both are just considered {{vocans}}.
science	Rathbun1900.3	Rathbun	1900	Uca thayeri	Rathbun_Uca_thayeri	png	thayeri	This drawing is from Rathbun (1900). It is the image accompanying the type description of {{thayeri}}.
science	Holmes1900	Holmes	1900	Uca crenulata	Holmes_Uca_crenulata1	png	crenulata	This drawing is from Holmes (1900). It is later reproduced by Schmitt (1921).
science	Holmes1900	Holmes	1900	Uca crenulata	Holmes_Uca_crenulata2	png	crenulata	This drawing is from Holmes (1900). It is later reproduced by Schmitt (1921).
science	Holmes1900	Holmes	1900	Uca rectilata	Holmes_Uca_rectilata1	png	n/a	This drawing is from Holmes (1900). It is not clear what species <em class="species">Uca rectilata</em> actually represents since the type specimen was lost in a fire.
science	Holmes1900	Holmes	1900	Uca rectilata	Holmes_Uca_rectilata2	png	n/a	This drawing is from Holmes (1900). It is not clear what species <em class="species">Uca rectilata</em> actually represents since the type specimen was lost in a fire.
science	Alcock1902	Alcock	1902	Gelasimus annulipes	Alcock_Gelasimus_annulipes1	png	annulipes	This drawing is from Alcock (1902). He labels it <em class="species">Gelasimus annulipes.</em> An associated figures is of a female.
science	Alcock1902	Alcock	1902	Gelasimus annulipes	Alcock_Gelasimus_annulipes2	png	annulipes	This drawing is from Alcock (1902). He labels it <em class="species">Gelasimus annulipes.</em> An associated figures is of a male.
science	Rathbun1902.3	Rathbun	1902	Uca galapagensis	Rathbun_Uca_galapagensis	png	galapagensis	This drawing is from Rathbun (1902). It is the image accompanying the type description of {{galapagensis}}.
science	Rathbun1902.3	Rathbun	1902	Uca helleri	Rathbun_Uca_helleri	png	helleri	This drawing is from Rathbun (1902). It is the image accompanying the type description of {{helleri}}.
science	Holmes1904	Holmes	1904	Uca brevifrons	Holmes_Uca_brevifrons1	png	brevifrons	This drawing is from Holmes (1904).
science	Holmes1904	Holmes	1904	Uca brevifrons	Holmes_Uca_brevifrons2	png	brevifrons	This drawing is from Holmes (1904).
science	Paulmier1905	Paulmier	1905	Uca minax	Paulmier_Uca_minax	png	minax	This drawing is from Paulmier (1905). 
science	Stimpson1907	Stimpson	1907	Gelasimus acutus	Stimpson_Gelasimus_acutus	png	acuta	This drawing is from Stimpson (1907). He labeled it <em class="species">Gelasimus acutus.</em>
science	Stimpson1907	Stimpson	1907	Gelasimus dubius	Stimpson_Gelasimus_dubius	png	dussumieri	This drawing is from Stimpson (1907). He labeled it <em class="species">Gelasimus dubius,</em> which we now call {{dussumieri}}.
science	Stimpson1907	Stimpson	1907	Gelasimus splendidus	Stimpson_Gelasimus_splendidus	png	splendida	This drawing is from Stimpson (1907). He labeled it <em class="species">Gelasimus splendidus.</em>
science	Pesta1911	Pesta	1911	Uca gaimardi	Pesta_Uca_gaimardi	png	crassipes	This drawing is from Pesta (1911). He labeled it <em class="species">Uca gaimardi.</em>
science	Pearse1912.1	Pearse	1912	Uca rathbunæ 	Pearse_Uca_rathbunae1	png	coarctata	This drawing is from Pearse (1912). He labeled it <em class="species">Uca rathbunæ,</em> which is now known as {{coarctata}}.
science	Pearse1912.2	Pearse	1912	Uca rathbunæ carrying a load from her burrow	Pearse_Uca_rathbunae2	png	coarctata	This drawing is from Pearse (1912). He labeled it <em class="species">Uca rathbunæ,</em> which is now known as {{coarctata}}. He was illustratraing how fiddler crabs removed mud from their burrows. The same drawing is reprinted by Pearse (1914); in this second article the drawing is credited to Tom Jones.
science	Pearse1912.2	Pearse	1912	Uca forcipata	Pearse_Uca_forcipata	png	forcipata	This drawing is from Pearse (1912). He labeled it <em class="species">Uca forcipata.</em>  The same drawing is reprinted by Pearse (1914); in this second article the drawing is credited to Tom Jones.
science	Pearse1912.2	Pearse	1912	Position assumed by male fiddlers when fighting	Pearse_fighting	png	n/a	This drawing is from Pearse (1912). He was illustrating fighting behavior in the males and does not specify which species is illustrated. The same drawing is reprinted by Pearse (1914); in this second article the drawing is credited to Tom Jones.
science	Pearse1912.2	Pearse	1912	Fiddler crab closing a burrow with a plug of mud	Pearse_plugging	png	n/a	This drawing is from Pearse (1912). He was illustrating how a crab pulled a plug of mud to close a burrow and does not specify which species is illustrated. The same drawing is reprinted by Pearse (1914); in this second article the drawing is credited to Tom Jones.
science	Pearse1912.2	Pearse	1912	Fiddler crab collapsing the opening of a burrow to close it	Pearse_burrow	png	n/a	This drawing is from Pearse (1912). He was illustrating an unusual method for closing a burrow and does not specify which species is illustrated. The same drawing is reprinted by Pearse (1914); in this second article the drawing is credited to Tom Jones.
science	Pearse1912.2	Pearse	1912	Fiddler crabs defending their burrows	Pearse_defense	png	n/a	This drawing is from Pearse (1912). He was illustrating the manner in which male crabs will defend their burrows from within and and does not specify which species is illustrated. The same drawing is reprinted by Pearse (1914); in this second article the drawing is credited to Tom Jones.
science	Fowler1912	Fowler	1912	Uca pugnax	Fowler_Uca_pugnax1	png	pugnax	This drawing is from Fowler (1912). 
science	Fowler1912	Fowler	1912	Uca pugnax	Fowler_Uca_pugnax2	png	pugnax	This drawing is from Fowler (1912). 
science	Fowler1912	Fowler	1912	Uca minax	Fowler_Uca_minax1	png	minax	This drawing is from Fowler (1912). 
science	Fowler1912	Fowler	1912	Uca minax	Fowler_Uca_minax2	png	minax	This drawing is from Fowler (1912). 
science	Fowler1912	Fowler	1912	Uca pugilator	Fowler_Uca_pugilator1	png	pugilator	This drawing is from Fowler (1912). 
science	Fowler1912	Fowler	1912	Uca pugilator	Fowler_Uca_pugilator2	png	pugilator	This drawing is from Fowler (1912). 
science	Pearse1914.1	Pearse	1914	Fiddler crab creating a mud plug	Pearse_plugging2	png	coarctata	This drawing is from Pearse (1914). He labeled it <em class="species">Uca rathbunæ,</em> which is now known as {{coarctata}}. He was illustratraing how fiddler crabs created mud plugs to seal their burrows. The artist is listed as Hattie Wakeman.
science	Pearse1914.1	Pearse	1914	Uca pugilator	Pearse_Uca_pugilator1	png	pugilator	This drawing is from Pearse (1914). He labeled it {{pugilator}}. He was illustratraing male courtship behavior. The artist is listed as Hattie Wakeman.
science	Pearse1914.1	Pearse	1914	Uca pugilator	Pearse_Uca_pugilator2	png	pugilator	This drawing is from Pearse (1914). He labeled it {{pugilator}}. He was illustratraing male courtship behavior. The artist is listed as Hattie Wakeman.
science	Pearse1914.2	Pearse	1914	Uca pugilator	Pearse_Uca_pugilator3	png	pugilator	This drawing is from Pearse (1914). He labeled it {{pugilator}}. He was illustratraing male fighting. The artist is not listed, but is likely Hattie Wakeman.
science	Pearse1914.2	Pearse	1914	Uca pugilator	Pearse_Uca_pugilator4	png	pugilator	This drawing is from Pearse (1914). He labeled it {{pugilator}}. He was illustratraing how the males carried mud balls. The artist is not listed, but is likely Hattie Wakeman.
science	Pearse1914.2	Pearse	1914	Uca pugilator	Pearse_Uca_pugilator5	png	pugilator	This drawing is from Pearse (1914). He labeled it {{pugilator}}. He was illustratraing breeding. The artist is listed as Barbara Bradley.
science	Doflein1914	Doflein	1914	Uca (=Gelasimus) marionis	Doflein_Uca_marionis	png	maracoani	This drawing is from Doflein (1914). He labeled it <em class="species">Uca (=Gelasimus) marionis.</em> The figure is clearly a different species, most likely {{maracoani}}, (although some closely related others are possible).
science	Rathbun1915	Rathbun	1915	Uca musica	Rathbun_Uca_musica	png	musica	This drawing is from Rathbun (1915). It is the image accompanying the type description of {{musica}}. It is reproduced in Schmitt (1921).
science	Pesta1918	Pesta	1918	Uca coarctata	Pesta_Uca_coarctata	png	coarctata	This drawing is from Pesta (1918). 
science	McNeill1920	McNeil	1920	Uca marionis var. vomeris	McNeil_Uca_marionis_var_vomeris	jpg	vomeris	This drawing is from McNeil (1920). It is the image accompanying the type description of {{vomeris}}. Another part of the figure illustrates a series of major claws from both this and a related species.
science	McNeill1920	McNeil	1920	Uca marionis var. vomeris	McNeil_Uca_marionis_var_vomeris_2	jpg	vomeris	This drawing is from McNeil (1920). It is part of the image accompanying the type description of {{vomeris}}. McNeill was trying to illustrate variation in the major claw of the <em class="species">vomeris</em> variety (#3-6) and the "typical" variety (#10-11, which he called <em class="species">Uca marionis</em>, but we now call {{vocans}}). He labeled claws #7-9 as intermediate between the two varieties. In fact, we now know that most of the illustrated variation (particularly in the "intermediates") is due to regenerated vs. non-regenerated claws, and, based on sampling locations, all of these are from {{vomeris}}, except for claw #11 which is from the species {{excisa}}.
science	Gravely1927	Gravely	1927	Uca marionis var. nitidus	Gravely_Uca_marionis_var_nitidus	png	hesperiae	This drawing is from Gravely (1927). He labeled it <em class="species">Uca marionis</em> var. <em class="species">nitidus.</em>
science	Monod1927	Monod	1927	Uca Tangeri	Monod_Uca_tangeri27	png	tangeri	This drawing is from Monod (1927).
science	Hediger1934.1	Hediger	1934	Uca tangeri	Hediger_Uca_tangeri	png	tangeri	This drawing is from Hediger (1934). 
science	Boone1934	Boone	1934	Uca lactea	Boone_Uca_lactea1	png	perplexa	This drawing is from Boone (1934). He labeled it <em class="species">Uca lactea,</em> but it is actually {{perplexa}}.
science	Boone1934	Boone	1934	Uca lactea	Boone_Uca_lactea2	png	perplexa	This drawing is from Boone (1934). He labeled it <em class="species">Uca lactea,</em> but it is actually {{perplexa}}.
science	Tweedie1937	Tweedie	1937	Gelasimus Dussumieri	Tweedie_Gelasimus_dussumieri	png	dussumieri	This drawing is from Tweedie (1937). He labeled it <em class="species">Gelasimus Dussumieri.</em>
science	Tweedie1937	Tweedie	1937	Gelasimus manii	Tweedie_Gelasimus_manii	png	forcipata	This drawing is from Tweedie (1937). He labeled it <em class="species">Gelasimus manii,</em> which today we call {{forcipata}}.
science	Tweedie1937	Tweedie	1937	Gelasimus manii	Tweedie_Gelasimus_manii2	png	forcipata	This drawing is from Tweedie (1937). He labeled it as the right abdominal pleopod of <em class="species">Gelasimus manii,</em> which today we call {{forcipata}}.
science	Tweedie1937	Tweedie	1937	Gelasimus roseus	Tweedie_Gelasimus_roseus	png	rosea	This drawing is from Tweedie (1937). It is the image accompanying the type description of {{rosea}}.
science	Tweedie1937	Tweedie	1937	Gelasimus roseus	Tweedie_Gelasimus_roseus2	png	rosea	This drawing is from Tweedie (1937). It is an image accompanying the type description of {{rosea}}. It is a right male abodminal pleopod.
science	Tweedie1937	Tweedie	1937	Gelasimus annulipes	Tweedie_Gelasimus_annulipes	png	n/a	This drawing is from Tweedie (1937). He labeled it as the right male pleopod of <em class="species">Gelasimus annulipes.</em>
science	Tweedie1937	Tweedie	1937	Gelasimus triangularis	Tweedie_Gelasimus_triangularis	png	triangularis	This drawing is from Tweedie (1937). He labeled it as the right male pleopod of <em class="species">Gelasimus triangularis.</em>
science	Tweedie1937	Tweedie	1937	Gelasimus marionis var. nitidus	Tweedie_Gelasimus_marionis_nitidus	png	n/a	This drawing is from Tweedie (1937). He labeled it as the right male pleopod of <em class="species">Gelasimus marionis</em> var. <em class="species">nitidus.</em>
science	Oliveira1939.1	Oliveira	1939	Uca leptodactyla	Oliveira_Uca_leptodactyla	png	leptodactyla	This drawing is from Oliveira (1939). He labeled it <em class="species">Uca leptodactyla.</em>
science	Oliveira1939.1	Oliveira	1939	Uca maracoani	Oliveira_Uca_maracoani	png	maracoani	This drawing is from Oliveira (1939). He labeled it <em class="species">Uca maracoani</em>.
science	Oliveira1939.1	Oliveira	1939	Uca olympioi	Oliveira_Uca_olympioi	png	uruguayensis	This drawing is from Oliveira (1939). He labeled it <em class="species">Uca olympioi,</em> which we now know to be {{uruguayensis}}.
science	Oliveira1939.1	Oliveira	1939	Uca pugnax brasiliensis	Oliveira_Uca_pugnax_brasiliensis	png	rapax	This drawing is from Oliveira (1939). He labeled it <em class="species">Uca pugnax brasiliensis,</em> which is the same as {{rapax}}.
science	Oliveira1939.1	Oliveira	1939	Uca pugnax rapax	Oliveira_Uca_pugnax_rapax	png	rapax	This drawing is from Oliveira (1939). He labeled it <em class="species">Uca pugnax rapax,</em> which is now simply {{rapax}}.
science	Oliveira1939.1	Oliveira	1939	Uca salsisitus	Oliveira_Uca_salsisitus	png	rapax	This drawing is from Oliveira (1939). He labeled it <em class="species">Uca salsisitus,</em> but they are juvenile {{rapax}}.
science	Oliveira1939.1	Oliveira	1939	Uca uruguayensis	Oliveira_Uca_uruguayensis	png	uruguayensis	This drawing is from Oliveira (1939). He labeled it <em class="species">Uca uruguayensis.</em>
science	Sakai1939	Sakai	1939	Gelasimus marionis nitidus	Sakai_Gelasimus_marionis_nitidus	png	vocans	This drawing is from Sakai (1939). He labeled it <em class="species">Gelasimus marionis nitidus.</em> It is most likely {{vocans}}. It is a reprint of a figure from his 1935 (1936) book.
science	Sakai1939	Sakai	1939	Gelasimus lacteus	Sakai_Gelasimus_lacteus	png	lactea	This drawing is from Sakai (1939). He labeled it <em class="species">Gelasimus lacteus.</em> It is a reprint of a figure from his 1935 (1936) book.
science	Sakai1939	Sakai	1939	Gelasimus arcuatus	Sakai_Gelasimus_arcuatus	png	arcuata	This drawing is from Sakai (1939). He labeled it <em class="species">Gelasimus arcuatus.</em> It is a reprint of a figure from his 1935 (1936) book.
science	Bouvier1940	Bouvier	1940	Uca tangeri	Bouvier_Uca_tangeri	png	tangeri	This drawing is from Bouvier (1940). 
science	Crane1941	Crane	1941	Uca tomentosa	Crane_Uca_tomentosa1	png	tomentosa	This drawing from Crane (1941) accompanies the type description of {{tomentosa}}. Secondary images show the major claw.
science	Crane1941	Crane	1941	Uca tomentosa	Crane_Uca_tomentosa2	png	tomentosa	This drawing from Crane (1941) accompanies the type description of {{tomentosa}}. Another image shows the full crab.
science	Crane1941	Crane	1941	Uca tomentosa	Crane_Uca_tomentosa3	png	tomentosa	This drawing from Crane (1941). It is the minor cheliped of {{tomentosa}}.
science	Crane1941	Crane	1941	Uca umbratila	Crane_Uca_umbratila1	png	umbratila	This drawing from Crane (1941) accompanies the type description of {{umbratila}}. Secondary images show the major claw.
science	Crane1941	Crane	1941	Uca umbratila	Crane_Uca_umbratila2	png	umbratila	This drawing from Crane (1941) accompanies the type description of {{umbratila}}. Another image shows the full crab.
science	Crane1941	Crane	1941	Uca umbratila	Crane_Uca_umbratila3	png	umbratila	This drawing from Crane (1941). It is the minor cheliped of {{umbratila}}.
science	Crane1941	Crane	1941	Uca batuenta	Crane_Uca_batuenta1	png	batuenta	This drawing from Crane (1941) accompanies the type description of {{batuenta}}. Secondary images show the major claw.
science	Crane1941	Crane	1941	Uca batuenta	Crane_Uca_batuenta2	png	batuenta	This drawing from Crane (1941) accompanies the type description of {{batuenta}}. Another image shows the full crab.
science	Crane1941	Crane	1941	Uca batuenta	Crane_Uca_batuenta3	png	batuenta	This drawing from Crane (1941). It is the minor cheliped of {{batuenta}}.
science	Crane1941	Crane	1941	Uca princeps	Crane_Uca_princeps	png	princeps	This drawing from Crane (1941). It is the merus of the second maxiliped of {{princeps}}.
science	Crane1941	Crane	1941	Uca princeps	Crane_Uca_princeps2	png	princeps	This drawing from Crane (1941). It is the spoon-tipped setae of the second maxiliped of {{princeps}}.
science	Crane1941	Crane	1941	Uca oerstedi	Crane_Uca_oerstedi	png	oerstedi	This drawing from Crane (1941). It is the merus of the second maxiliped of {{oerstedi}}.
