species	#	caption
ecuadoriensis	3	Photo by Chris Lukhaup. Ecuador. Most likely {{ecuadoriensis}}.
ecuadoriensis	7	Zoeae. Photo by Hans-Georg Rupp.
ecuadoriensis	8	Zoeae. Photo by Hans-Georg Rupp.
ecuadoriensis	9	Megalopae. Photo by Hans-Georg Rupp.
ecuadoriensis	10	Very early stage crab. Photo by Hans-Georg Rupp.
elegans	1	Photo from [[George1982,.out]].
elegans	2	Photo provided by Pat Backwell, Australia.
elegans	3	Photo provided by Pat Backwell, Australia.
elegans	4	Photo provided by Pat Backwell, Australia.
elegans	5	Photo provided by Pat Backwell, Australia.
elegans	6	Photo provided by Pat Backwell, Australia.
elegans	7	Photo provided by Pat Backwell, Australia.
elegans	8	Photo provided by Pat Backwell, Australia.
elegans	9	Photo provided by Pat Backwell, Australia.
elegans	10	Photo provided by Pat Backwell, Australia.
elegans	11	Photo provided by Pat Backwell, Australia.
elegans	12	Photo provided by Pat Backwell, Australia.
excisa	1	Holotype of <em class="species">Mesuca (Latuca) neocultrimana</em> Bott, 1973 (SMF-5645). Photo from [[Shih2010.1,.out]], Figure 5.
excisa	2	Holotype of <em class="species">Mesuca (Latuca) neocultrimana</em> Bott, 1973 (SMF-5645). Photo from [[Shih2010.1,.out]], Figure 5.
excisa	3	Holotype of <em class="species">Uca (Thalassuca) vocans pacificensis</em> Crane, 1975 (USNM 137670). Photo from [[Shih2010.1,.out]], Figure 5.
excisa	4	Holotype of <em class="species">Uca (Thalassuca) vocans pacificensis</em> Crane, 1975 (USNM 137670). Photo from [[Shih2010.1,.out]], Figure 5.
excisa	5	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
excisa	6	Photo originally obtained from the <a href="http://decapoda.free.fr/index.php">Database of Crustacea from French Polynesia</a>.
excisa	7	Photo by <a href="http://www.inaturalist.org/observations/1301502">Mark Rosenstein, posted on iNaturalist</a>.
festae	1	Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama.
festae	2	Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama.
festae	3	Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama.
flammula	1	Photo from [[George1982,.out]].
flammula	2	Photo from [[George1982,.out]].
flammula	3	Juvenile male. Labeled as <em>Uca capricornis</em>. Photo from [[George1982,.out]].
flammula	4	Photo originally obtained from the <a href="http://museum.wa.gov.au">Western Australian Museum</a> website.
flammula	5	Photo provided by Pat Backwell, Australia.
flammula	6	Photo provided by Pat Backwell, Australia.
flammula	7	Photo provided by Pat Backwell, Australia.
flammula	8	Photo provided by Pat Backwell, Australia.
flammula	9	Photo provided by Pat Backwell, Australia.
flammula	10	Photo provided by Pat Backwell, Australia.
flammula	11	Photo provided by Pat Backwell, Australia.
flammula	12	Photo provided by Pat Backwell, Australia.
flammula	13	Photo provided by Pat Backwell, Australia.
flammula	14	Photo provided by Pat Backwell, Australia.
flammula	15	Photo provided by Pat Backwell, Australia.
flammula	16	Photo provided by Pat Backwell, Australia.
flammula	17	Photo provided by Pat Backwell, Australia.
flammula	18	Photo provided by Pat Backwell, Australia.
flammula	19	Photo provided by Pat Backwell, Australia.
forcipata	1	This photo was originally obtained from a webpage which no longer appears to exist.
forcipata	2	Photo by Chris Lukhaup.
forcipata	3	Photo by Chris Lukhaup.
forcipata	4	Photo by M.S. Rosenberg, Rinca Island, Komodo National Park, Indonesia (July 2013).
forcipata	5	Photo by M.S. Rosenberg, Rinca Island, Komodo National Park, Indonesia (July 2013).
forcipata	6	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
forcipata	7	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
forcipata	8	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
forcipata	9	Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013).
forcipata;triangularis	1	Emphasizing differences in species size: the large red and black crab is {{forcipata}}, while the small whitish one is {{triangularis}}. Photo by M.S. Rosenberg, Bali, Indonesia (July, 2013). 
forcipata	10	Photo from [[Shih2016.2,.out]], Figure 11.
formosensis	1	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	2	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	3	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	4	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	5	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	6	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	7	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	9	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
formosensis	10	Photo originally obtained from <a href="http://www.wetland.org.tw/english/index.htm">Wetlands Taiwan</a>.
formosensis	11	This photo was originally obtained from a webpage which no longer appears to exist.
formosensis	12	Photo from [[Shih2015.2,.out]], Figure 3.
formosensis	13	Photo from [[Shih2015.2,.out]], Figure 3.
hamlini	1	Image from [[Rathbun1926.1,.out]], Plate 8, figure 1.
hamlini	2	Holotype of USNM 353372, courtesy of Smithsonian Institutuion.
helleri	1	Original source of this photo is unknown.
helleri	2	Photo by <a href="http://www.inaturalist.org/observations/2847360">Antonio Rodríguez Arduengo, posted on iNaturalist</a>.
helleri	3	Photo by <a href="http://www.inaturalist.org/observations/2847360">Antonio Rodríguez Arduengo, posted on iNaturalist</a>.
helleri	4	Photo by <a href="http://www.inaturalist.org/observations/2847360">Antonio Rodríguez Arduengo, posted on iNaturalist</a>.
herradurensis	1	Photo by M.S. Rosenberg, fall 1997, Diablo Creek, Panama City, Panama.
hesperiae	1	This photo was originally obtained from a webpage which no longer appears to exist.
hesperiae	2	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
hesperiae	3	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
hesperiae	4	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
hesperiae	5	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
hesperiae	6	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
heteropleura	1	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
heteropleura	2	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
heteropleura	3	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
heteropleura	4	Photo by J. Christy, Panama.
heteropleura	5	Photo provided by Pat Backwell, Panama.
heteropleura	6	Photo provided by Pat Backwell, Panama.
heteropleura	7	Photo provided by Pat Backwell, Panama.
heteropleura	8	Photo provided by Pat Backwell, Panama.
heteropleura	9	Photo provided by Pat Backwell, Panama.
heteropleura	10	Photo provided by Pat Backwell, Panama.
heteropleura	11	Photo provided by Pat Backwell, Panama.
heteropleura	12	Photo provided by Pat Backwell, Panama.
heteropleura	13	Photo provided by Pat Backwell, Panama.
heteropleura	14	Photo provided by Pat Backwell, Panama.
hirsutimanus	1	Photo from [[George1982,.out]].
hirsutimanus	2	Photo provided by Pat Backwell, Australia.
inaequalis	1	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
inaequalis	2	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
inaequalis	3	Photo provided by Pat Backwell, Panama.
inaequalis	4	Photo provided by Pat Backwell, Panama.
inaequalis	5	Photo provided by Pat Backwell, Panama.
inaequalis	6	Photo provided by Pat Backwell, Panama.
insignis	1	Photo from [[Shih2016.2,.out]], Figure 6.
intermedia	1	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
intermedia	2	Photo by M.S. Rosenberg, fall 1997, Rodman Naval Base, Panama City, Panama.
inversa	1	This photo was originally obtained from a webpage which no longer appears to exist.
inversa	2	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
inversa	3	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
inversa	4	Photo originally obtained from <a href="http://www.madeinnys.com/mangrove/">A field guide to Kenyan mangroves</a>.
iranica	1	Photo from [[Naderloo2010,.out]], Figure 6.
iranica	2	Photo from [[Naderloo2010,.out]], Figure 6.
iranica	3	Photo from [[Naderloo2010,.out]], Figure 6.
iranica	4	Photo from [[Naderloo2010,.out]], Figure 6.
iranica	5	Photo from [[Saher2014,.out]], Figure 2. Mesial view of right pleopod.
iranica	6	Photo from [[Saher2014,.out]], Figure 2. Closeup of spoon-tipped setae of second maxilliped.
iranica	7	Photo from [[Saher2014,.out]], Figure 2. Full view of right pleopod.
iranica	8	Photo from [[Saher2014,.out]], Figure 2. Arrangement of spoon-tipped setae on second maxiliped.
jocelynae	1	Photo from [[Shih2010.1,.out]], Figure 2.
jocelynae	2	Photo from [[Shih2010.1,.out]], Figure 2.
jocelynae	3	Photo from [[Shih2010.1,.out]], Figure 2.
jocelynae	4	Photo from [[Shih2010.1,.out]], Figure 2.
jocelynae	5	Photo from [[Shih2010.1,.out]], Figure 2.
jocelynae	6	Photo from [[Shih2010.1,.out]], Figure 2.
jocelynae	7	Photo from [[Shih2010.1,.out]], Figure 4.
jocelynae	8	Photo from [[Shih2010.1,.out]], Figure 4.
jocelynae	9	Photo from [[Shih2010.1,.out]], Figure 4.
jocelynae	10	Photo from [[Shih2010.1,.out]], Figure 4.
jocelynae	11	Photo from [[Shih2010.1,.out]], Figure 4.
jocelynae	12	Photo from [[Shih2010.1,.out]], Figure 4.
jocelynae	13	Photo from [[Shih2010.1,.out]], Figure 4.
jocelynae	14	Photo from [[Shih2010.1,.out]], Figure 4.
lactea	1	Photo from [[Naderloo2010,.out]], Figure 18.
lactea	2	Photo from [[Naderloo2010,.out]], Figure 18.
lactea	3	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
lactea	4	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
lactea	5	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
lactea	6	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	7	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	8	Photo originally obtained from <a href="http://web.nchu.edu.tw/~htshih/SHIH_e.html">Hsi-Te Shih's website</a>.
lactea	10	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	11	This photo was originally obtained from a webpage which no longer appears to exist.
lactea	12	This photo was originally obtained from a webpage which no longer appears to exist.
leptodactyla	1	Photo from [[Thurman2013.1,.out]], Figure 2.
leptodactyla	2	Photo from [[Araujo2013,.out]], Figure 1.
leptodactyla	3	Photo from [[Araujo2013,.out]], Figure 1.
