name	variations	primary synonym	original binomial	priority source	meaning	notes
batuenta	batuenta	batuenta	Uca batuenta	Crane1941	Named for its habit of beating the ground while displaying.	.
beebei	beebei	beebei	Uca beebei	Crane1941	Named after American naturalist and explorer William Beebe.	.
bellator	bellator	bellator	Gelasimus bellator	Adams1848	.	.
bellatrix	bellatrix	?	Gelasimus bellatrix	White1847.1	.	A <em>nomen nodum.</em> The name only appears in a published list from a museum collection with no description; specimen can no longer be found, so identity cannot be determined.
bellii	bellii	>Goneplax rhomboides	Gelasimus Bellii	Couch1838	Named after British zoologist Thomas Bell.	This species is not a fiddler crab.
bengali	bengali	bengali	Uca (Celuca) triangularis bengali	Crane1975	Presumably named after the Bay of Bengal, where it's distribution is centered.	.
boninensis	boninensis	boninensis	Uca boninensis	Shih2013.2	Named after the Bonin Islands (the old name for the Ogasawara Islands). Bonin is derived from the Japanese munin meaning &ldquo;a place without residence.&rdquo;	.
borealis	borealis	borealis	Uca (Thalassuca) vocans borealis	Crane1975	Named for its northern distribution, after the Greek noun <em>Boreas</em> for &ldquo;northern wind.&rdquo;	.
brasiliensis	brasiliensis	rapax	Uca pugnax brasiliensis	Oliveira1939.1	Named after Brazil.	<em class="species">Uca pugnax brasiliensis</em> Oliveira, 1939, is a junior synonym of <em class="species">Uca rapax</em> (Smith, 1870).
brevifrons	brevifrons	brevifrons	Gelasimus brevifrons	Stimpson1860	Latin for &ldquo;short-brow&rdquo; or &ldquo;short-forehead&rdquo;	.
brevipes	brevipes;brevipede	arcuata	Gelasimus brevipes	MilneEdwards1852	Latin for &ldquo;short-foot&rdquo; 	<em class="species">Gelasimus brevipes</em> Milne Edwards, 1852, is a junior synonym of <em class="species">Uca arcuata</em> (de Haan, 1835)
burgersi	burgersi	burgersi	Uca burgersi	Holthuis1967	Named after A.C.J. Burgers of the Zoological Laboratory at Utrecht.	.
capricornis	capricornis	capricornis	Uca (Deltuca) dussumieri capricornis	Crane1975	Named in reference to its occurrence near the Tropic of Capricorn.	.
chlorophthalmus	chlorophthalmus;chlorophthalma	chlorophthalmus	Gelasimus chlorophthalmus	MilneEdwards1837.2	Latin for &ldquo;green-eyed.&rdquo;	.
cimatodus	cimatodus	tangeri	Gelasimus cimatodus	Rochebrune1883	.	<em class="species">Gelasimus cimatodus</em> Rochebrune, 1883, is a junior synonym of <em class="species">Uca tangeri</em> (Eydoux, 1835)
coarctata	coarctata;coarctatus;coartatus;corctata	coarctata	Gelasimus coarctatus	MilneEdwards1852	.	.
coloradensis	coloradensis	coloradensis	Gelasimus coloradensis	Rathbun1893	Named after the Colorado River, where it was first found.	.
consobrinus	consobrinus	annulipes	Uca consobrinus	Verwey1930	.	<em class="species">Uca consobrinus</em> was first used in print by Verwey (1930) but he got the name from an unpublished museum label of De Man. <em class="species">Uca consobrinus</em> Verwey, 1930, is a junion synonym for <em class="species">Uca annulipes</em> (H. Milne Edwards, 1837).
cordata	cordata;cordatus	>Ucides cordatus	Cancer Cordatus	Linnaeus1763	Latin for &ldquo;heart-shaped.&rdquo;	This species is not a fiddler crab.
cordiformis	cordiformis	>Heloecius cordiformis	Gelasimus cordiformis	MilneEdwards1837.2	Seems to be Latin for &ldquo;heart-shaped.&rdquo;	This species is not a fiddler crab.
crassipes	crassipes	crassipes	Gelasimus crassipes	Adams1848	Latin for &ldquo;thick-legged.&rdquo;	.
crenulata	crenulata;crenulatus	crenulata	Gelasimus crenulatus	Lockington1877.2	Named for the crenulations on the sub-orbital margins.	.
cryptica	cryptica	cryptica	Uca (Austruca) cryptica	Naderloo2010	Named because the speces was hidden among numerous museum specimens yet remained unknown	.
cultrimana	cultrimana;cullrimana;cultrimanus	vocans	Gelasimus cultrimanus	Adams1848	.	<em class="species">Gelasimus cultrimanus</em> Adams &amp; White, 1848, is a junior synonym of <em class="species">Uca vocans</em> (Linnaeus, 1758).
cumulanta	cumulanta	cumulanta	Uca cumulanta	Crane1943.2	The name derives from the crab's habit of heaping up mud.	.
cunninghami	cunninghami	>Trichodactylus cunninghami	Uca Cunninghami	Bate1868	Named after the collector, Robert O. Cunningham.	This species is not a fiddler crab.
dampieri	dampieri	dampieri	Uca (Thalassuca) vocans dampieri	Crane1975	Named after the explorer Dampier.	.
deichmanni	deichmanni	deichmanni	Uca deichmanni	Rathbun1935.1	Named after the collector, Dr. Elisabeth Deichmann.	.
delicata	delicata	brevifrons	Uca brevifrons var. delicata	Maccagno1928	.	<em class="species">Uca brevifrons</em> var. <em class="species">delicata</em> Maccagno, 1928, is a junior synonym of <em class="species">Uca brevifrons</em> (Stimpson, 1860)
demani	demani	demani	Uca demani	Ortmann1897	Named after the Dutch biologist, Johannes Govertus de Man.	.
desjardinii	desjardinii	tetragonon	Gelasimus desjardinii	GuerinMeneville_nd	Likely named after the French zoologist Julien François Desjardins.	This name, which derives from a museum label, only appears in print (Kingsley, 1880) as a synonym of <em class="species">Uca tetragonon</em> (Herbst, 1790)
dexialis	dexialis	?	Gelasimus dexialis	.	.	An unpublished manuscript name from Latreille, known from a dried, broken and unidentifiable specimen in the Paris museum. Mentioned in Crane (1975).
dorotheae	dorotheae	dorotheae	Uca dorotheae	vonHagen1968.2	Named after the discoverer's wife, Dorothy.	.
dubia	dubia;dubius	dussumieri	Gelasimus dubius	Stimpson1907	.	<em class="species">Gelasimus dubius</em> Stimpson, 1907, is a junior synonym of <em class="species">Uca dussumieri</em> (H. Milne Edwards, 1852)
duperreyi	duperreyi;duperryi	tetragonon	Gelasimus Duperreyi	GuerinMeneville1829.1	Likely named after the French admiral, Guy-Victor Duperré.	<em class="species">Gelasimus Duperreyi</em> Guérin-Méneville, 1826, is a junior synonym of <em class="species">Uca tetragonon</em> (Herbst, 1790).
dussumieri	dussumieri	dussumieri	Gelasimus Dussumieri	MilneEdwards1852	Named after the French merchant Jean-Jacques Dussumier, who collected many zoological specimens while traveling.	.
ecuadoriensis	ecuadoriensis;ecuatoriensis	ecuadoriensis	Uca ecuadoriensis	Maccagno1928	Named after the country of Ecuador.	.
eibli	eibli	festae	Uca (Minuca) leptochela eibli	Bott1958	Named after the collector, Dr. I. Eibl-Eibesfeldt	<em class="species">Uca (Minuca) leptochela eibli</em> Bott, 1958, is a junior synonym of <em class="species">Uca festae</em> Nobili, 1901
elegans	elegans	elegans	Uca elegans	George1982	Named in reference to the long and elegant fingers of the major and minor chelae (from the Latin for &ldquo;graceful&rdquo;)	.
excellens	excellens	insignis	Gelasimus (Acanthoplax) excellens	Gerstaecker1856	.	<em class="species">Gelasimus (Acanthoplax) excellens</em> Gerstacker, 1856, is a junior synonym of <em class="species">Uca insignis</em> (H. Milne Edwards, 1852). This synonymy was identified by Rathbun, but she mixed some specimens of <em class="species">Uca ornata</em> and <em class="species">Uca insignis</em> together. The type of <em class="species">excellens</em> does not appear to be extant, but if it was found and turned out to be a synonym for <em class="species">Uca ornata</em> Smith, 1870, it would have priority.
excisa	excisa	excisa	Uca Marionis var. excisa	Nobili1906.3	From the Latin word meaning &ldquo;cut out&rdquo; (as in "excised")?	Nobili (1906) proposed <em>excisa</em> as a substitute for Dana's (1851) use of the name <em class="species">nitida,</em> since the latter was already a homonym of an earlier usage by Desmarest (1817). Crane considered Nobili's rather loose proposal to have no taxonomic standing. Her interpretation was incorrect, and Nobili's name currently has priority for this species. 
festae	festae	festae	Uca Festae	Nobili1901.3	Named after Italian naturalist Enrico Festa.	.
flammula	flammula	flammula	Uca (Deltuca) [coarctata] coarctata flammula	Crane1975	From the Latin noun for &ldquo;a little flame,&rdquo; named in reference to it's red markings.	.
forceps	forceps	?	Gelasimus forceps	MilneEdwards1837.2	Likely named for the shape of the major claw.	The type specimen appears to be a composite of at least two different species, with at least three specimens involved in the mixup. Because of this ambiguity, the name has been discarded.
forcipata	forcipata;forcipatus	forcipata	Gelasimus forcipatus	Adams1848	.	.
formosensis	formosensis	formosensis	Uca formosensis	Rathbun1921.2	Named after the island Formosa (which today we call Taiwan), where it is endemic.	.
fossor	fossor	>Ucides cordatus	Ocypode fossor	Latreille1802	.	This species is not a fiddler crab.
gaimardi	gaimardi;gaimardii	crassipes	Gelasimus Gaimardi	MilneEdwards1852	Named after the French naturalist Joseph Paul Gaimard.	<em class="species">Gelasimus Gaimardi</em> Milne Edwards, 1852, is a junior synonym of <em class="species">Uca crassipes</em> (Adams &amp; White, 1848)
galapagensis	galapagensis;galapensis	galapagensis	Uca galapagensis	Rathbun1902.3	Named after the Galapagos Islands, where it was first found.	.
gibbosa	gibbosa;gibbosus	stenodactylus	Gelasimus gibbosus	Smith1870.2	Latin for &ldquo;hunchbacked.&rdquo;	<em class="species">Gelasimus gibbosus</em> Smith, 1870, is a junior synonym of <em class="species">Uca stenodactylus</em> (H. Milne Edwards &amp; Lucas, 1843)
glabromana	glabromana	herradurensis	Uca (Minuca) macrodactyla glabromana	Bott1954	Latin for &ldquo;smooth-handed.&rdquo;	<em class="species">Uca (Minuca) macrodactyla glabromana</em> Bott, 1954, is a junior synonym of <em class="species">Uca herradurensis</em> Bott, 1954.
gracilis	gracilis	crenulata	Gelasimus gracilis	Rathbun1893	Latin for &ldquo;thin.&rdquo;	<em class="species">Gelasimus gracilis</em> Rathbun, 1893, is a junior synonym of <em class="species">Uca crenulata</em> (Lockington, 1877).
grandimanus	grandimanus	?	Gonoplax grandimanus	Lamarck_nd	Latin for &ldquo;large-handed.&rdquo;	This name, which derives from a museum label, only appears in print (Lamarck, 1818) as a synonym of <em class="species">Uca maracoani</em> (Latreille, 1802). Because of so much uncertainy among species designations at that time, the exact species cannot be determined.
grangeri	grangeri	major	Gelasimus grangeri	Schramm1867	.	<em class="species">Gelasimus grangeri</em> Schramm, 1867, is a junior synonym of <em class="species">Uca major</em> (Herbst, 1782)
guayaquilensis	guayaquilensis;quayaquilensis	festae	Uca guayaquilensis	Rathbun1935.1	Named after the city of Guayaquil, Ecudador	<em class="species">Uca guayaquilensis</em> Rathbun, 1935, is a junior synonym of <em class="species">Uca festae</em> Nobili, 1901.
hamlini	hamlini	hamlini	Uca hamlini	Rathbun1926.1	Named after the collector, Homer Hamlin.	.
helleri	helleri	helleri	Uca helleri	Rathbun1902.3	Likely named after the zoologist Camill Heller.	.
herradurensis	herradurensis	herradurensis	Uca (Minuca) galapagensis herradurensis	Bott1954	Named after the La Herradura region of El Salvador	.
hesperiae	hesperiae	hesperiae	Uca (Thalassuca) vocans hesperiae	Crane1975	Named for its western distribution, after the Greek adjective for &ldquo;evening&rdquo; and &ldquo;the west.&rdquo;	.
heterochela	heterochela;heterocheles;heterochelos	major	Ocypoda heterochelos	Lamarck1801	Latin for &ldquo;different claws&rdquo;	<em class="species">Ocypoda heterochelos</em> Lamarck, 1802, is a junior synonym of <em class="species">Uca major</em> (Herbst, 1782)
heterophthalmus	heterophthalmus	stylifera	Gelasimus heterophthalmus	Smith1870.2	.	<em class="species">Gelasimus heterophthalmus</em> Smith, 1870, is a junior synonym of <em class="species">Uca stylifera</em> (H. Milne Edwards, 1852)
heteropleura	heteropleura;heteropleurus	heteropleura	Gelasimus heteropleurus	Smith1870.2	.	.
hirsutimanus	hirsutimanus	hirsutimanus	Uca hirsutimanus	George1982	Latin for &ldquo;hairy-hand,&rdquo; it is named for the pile in and around the groove on the outer major manus and pollex.	.
huttoni	huttoni	?	Gelassimus huttoni	Filhol1885.2	Named after the English biologist Frederick Wollaston Hutton.	The type specimen is no longer extant, the description is inadequate, and there are no known fiddler crabs from New Zealand, making the use of the name suspect and ambiguous.
inaciobritoi	inaciobritoi	antiqua	Uca inaciobritoi	MartinsNeto2001	Named after Dr. Ignacio Machado Brito who first described and named the original fossil specimen.	<em class="species">Uca inaciobritoi</em> Martins-Neto, 2001, is a junior synonym of <em class="species">Uca anitqua</em> Brito, 1972. It was proposed as a substitute name when the specimen was raised to a full species, but the original subspecific <em class="species">anitqua</em> retains priority.
inaequalis	inaequalis;equalis;inaegualis	inaequalis	Uca inaequalis	Rathbun1935.1	.	.
insignis	insignis	insignis	Acanthoplax insignis	MilneEdwards1852	.	.
intermedia	intermedia	intermedia	Uca (Uca) intermedia	vonPrahl1985	Named after the fact that this species was an intermediate between other known species from the subgenus.	.
inversa	inversa;inversus;universa	inversa	Gelasimus inversus	Hoffmann1874	.	.
iranica	iranica	iranica	Uca annulipes iranica	Pretzmann1971	Named after the country of Iran, where it was first identified.	.
ischnodactylus	ischnodactylus;ischnodactyla	coarctata	Uca ischnodactylus	Nemec1939	.	<em class="species">Uca ischnodactylus</em> Nemec, 1939, is a junior synonym of <em class="species">Uca coarctata</em> (H. Milne Edwards, 1852)
jocelynae	jocelynae	jocelynae	Uca jocelynae	Shih2010.1	Named after Jocelyn Crane.	.
lactea	lactea;laclaea;lactaea;lacteus;latea	lactea	Ocypode (Gelasimus) lactea	deHaan1835	The name derives from the Latin for &ldquo;milk&rdquo;	.
laevis	lavis;lævis;laevis	>Ucides occidentalis	Uca lavis	MilneEdwards1837.2	.	This species is not a fiddler crab.
lanigera	lanigera	ecuadoriensis	Uca lanigera	vonHagen1968.2	Latin for &ldquo;woolly,&rdquo; a reference to the pile on its carapace.	<em class="species">Uca lanigera</em> von Hagen, 1968, is a junior synonym of <em class="species">Uca ecuadoriensis</em> Maccagno, 1928.
latimanus	latimana;latimanus	latimanus	Gelasimus latimanus	Rathbun1893	.	.
latreillei	latreillei;latreilii;latreilli;latreillii	crassipes	Gelasimus Latreillei	MilneEdwards1852	Named after French zoologist, Pierre André Latreille.	<em class="species">Gelasimus Latreillei</em> H. Milne Edwards, 1852, is a junior synonym of <em class="species">Uca crassipes</em> (Adams &amp; White, 1848)
leptochela	leptochela	festae	Uca (Minuca) leptochela	Bott1954	Latin for &ldquo;thin-clawed.&rdquo;	<em class="species">Uca (Minuca) leptochela</em> Bott, 1954, is a junior synonym of <em class="species">Uca festae</em> Nobili, 1901.
leptodactyla	leptodactyla;leptodactylus	leptodactyla	Uca leptodactyla	Rathbun1898	Latin for &ldquo;thin-fingered.&rdquo;	.
leptostyla	leptostyla	leptodactyla	Uca leptostyla	Nutting1919	Appears to be an accidental combination of the names <em class="species">leptodactyla</em> and <em class="species">stylifera.</em>	Apparently a mistake/typo, since Nutting (1919) references Rathbun (1918) and does not appear to be trying to name a new species. Most likely mixed up the names of <em class="species">Uca stylifera</em> and <em class="species">U. leptodactyla.</em> Based on location (Antigua), the species could have been <em class="species">U. leptodactyla.</em>
limicola	limicola	limicola	Uca limicola	Crane1941	Named for its occurrence in mud.	.
longidigitum	longidigitum;longidigita	longidigitum	Gelasimus longidigitum	Kingsley1880	Latin for &ldquo;long-fingered.&rdquo;	.
longisignalis	longisignalis	longisignalis	Uca longisignalis	Salmon1968.1	Named for the extended duration of the waving display and sounds produced by the males.	.
macrodactyla	macrodactyla;macrodactylus	?	Gelasimus macrodactylus	MilneEdwards1843	Named for it's large dactyl.	The original use of <em class="species">Gelasimus macrodactylus</em> are for specimens from locations where fiddler crabs are not found. The collecting trip visited many different locations, so the exact one is unknown. The type specimen found in the Paris museum does not match the published description (in size or characteristics). Furthermore, the name was widely applied for a century to a number of different species, with no single one having clear dominance. Because of this ambiguity, the specific name <em class="species">macrodactylus</em> was officially suppressed by the ICZN (Opinion 940, 1971).
major	major	major	Cancer vocans major	Herbst1782	Herbst split fiddler crabs into two types/varieties based on size, using the terms major and minor for the larger and smaller types, respectively.	.
manchus	manchus	?	Gonoplax manchus	Lamarck_nd	.	This name, which derives from a museum label, only appears in print (Lamarck, 1818) as a synonym of <em class="species">Uca maracoani</em> (Latreille, 1802). Because of so much uncertainy among species designations at that time, the exact species cannot be determined.
manii	manii;manni;mani	forcipata	Uca manii	Rathbun1909	Latin for &ldquo;large-fingered.&rdquo;	<em class="species">Uca manii</em> Rathbun, 1909, is a junior synonym of <em class="species">Uca forcipata</em> (Adams &amp; White, 1848)
maracoani	maracoani;moracoani	maracoani	Ocypode maracoani	Latreille1802	The name derives from Marcgrave (1648), the earliest known reference and figure to a fiddler crab.	.
marguerita	marguerita	marguerita	Uca marguerita	Thurman1981.1	Named after a common christian name used in the endemic region of the species.	.
marinae	marinae	marinae	Uca (Uca) marinae	DominguezAlonso2008	Named after Mirna Marín, a biologist at the University Nacional Autónoma de Honduras.	.
marionis	marionis	vocans	Gelasimus Marionis	Desmarest1823	Named after the collector M. Marion de Proce de Nantes.	<em class="species">Gelasimus Marionis</em> Desmarest, 1823, is a junior synonym of <em class="species">Uca vocans</em> (Linnaeus, 1758).
matandensis	matandensis	tangeri	Uca tangeri var. matandensis	Monod1929	.	<em class="species">Uca tangeri var. matandensis</em> Monod, 1929, is a junior synonym of <em class="species">Uca tangeri</em> (Eydoux, 1835)
mearnsi	mearnsi	coarctata	Uca mearnsi	Rathbun1913	.	<em class="species">Uca mearnsi</em> Rathbun, 1913, is a junior synonym of <em class="species">Uca coarctata</em> (H. Milne Edwards, 1852)
mertensi	mertensi	tomentosa	Uca (Minuca) mertensi	Bott1954	.	<em class="species">Uca (Minuca) mertensi</em> Bott, 1954, is a junior synonym of <em class="species">Uca tomentosa</em> Crane, 1941.
minax	minax;mimax;minas	minax	Gelasimus minax	LeConte1855	.	.
minima	minima	signata	Uca (Australuca) bellator minima	Crane1975	Name derives from the fact that this was the smallest of thes subspecies	<em class="species">Uca (Australuca) bellator minima</em> Crane, 1975, is a junior synonym of <em class="species">Uca signata</em> (Hess, 1865).
minor	minor	?	Cancer vocans minor	Herbst1782	Herbst split fiddler crabs into two types/varieties based on size, using the terms major and minor for the larger and smaller types, respectively.	The specific name <em class="species">minor</em> was first used by Herbst (1782), although no specimen is extant and it is not at all clear which species he was referering to. One could reasonably assume that he was using <em class="species">minor</em> to refer to the traditional <em class="species">Cancer vocans,</em> in contrast to the larger form he designated as <em class="species">major.</em> If so, <em class="species">Uca minor</em> would be a junior synonym of <em class="species">Uca vocans.</em></p><p>The name was later independently used as <em class="species">Gelasimus minor</em> Owen, 1839, to describe a species from Hawaii. No fiddler crabs are found on Hawaii, but a variety of details point to this being collected further west and likely representing <em class="species">Uca perplexa</em> (H. Milne Edwards, 1852). Since <em class="species">Gelasimus minor</em> Owen, 1839, is a clear junior homonym of <em class="species">Cancer vocans minor</em>, it was unavailble to Owen and does not take precedence over <em class="species">Uca perplexa.</em>
miocenica	miocenica	miocenica	Uca miocenica	Artal2008	Named for the Miocene epoch in which the fossil was found	Currently retained as a separate species, there is a reasonable chance this fossil is just a junior synonym for <em class="species">Uca tangeri.</em>
mjoebergi	mjöbergi;mjoebergi;mjobergi	mjoebergi	Uca mjöbergi	Rathbun1924.1	Named after the Swedish zoologist, Eric Mjöberg	.
monilifera	monilifera;monilfera;molinifera	monilifera	Uca monilifera	Rathbun1915	.	Although first used in print by Rathbun (1915), she adopted the name from an unpublished name found on a museum specimen labled <em class="species">Eurychelus monilifer</em> by Louis Aggasiz.
mordax	mordax	mordax	Gelasimus mordax	Smith1870.2	Latin for &ldquo;biting.&rdquo;	.
murifecenta	murifecenta;murificenta	vocator	Uca murifecenta	Crane1943.2	The name came from the crab's habit of building walls.	<em class="species">Uca murifecenta</em> Crane, 1943, is a junior synonym of <em class="species">Uca vocator</em> (Herbst, 1804).
musica	musica	musica	Uca musica	Rathbun1915	Named for the sound the males make with the stridulating ridge on the large claw.	.
neocultrimana	neocultrimana	excisa	Mesuca (Latuca) neocultrimana	Bott1973.2	The name derives as a "new" version of the older species name <em class="species">Gelasimus cultrimanus.</em>	<em class="species">Uca neocultrimana</em> Bott, 1973, is a junior synonym of <em class="species">Uca excisa</em> Nobili, 1906.
nitida	nitida;nitidus	?	Goneplax nitida	Desmarest1817	.	The specific name <em class="species">nitida</em> was originally used by Desmarest (1817) with resepct to a fossil specimen (no longer extant) and the genus <em class="species">Goneplax.</em> In 1822 he shifted this fossil to the genus <em class="species">Gelasmius</em> as well as applying it to an extant species. H. Milne Edwards (1837) cites Desmarest's fossil and use of the name with <em class="species">Gelasmius</em>.</p><p>Dana (1851) apparently independently used the identical name for a fiddler crab from Fiji (specimen no longer extant). Dana's use of the name is the one subsequently followed by most authors for the century following its publication, including H. Milne Edwards (1852) who referenced Dana and made no mention of the Desmarest fossil. Today Dana's species is known as <em class="species">Uca excisa</em>  Nobili, 1906.</p><p>As things currently stand, <em class="species">Gelasimus nitida</em> Dana, 1851, is considered a junior homonym of <em>Gonexplax nitida</em> Desmarest, 1817. If Desmaret's fossil specimen were found and turned out not to be a fiddler crab, then Dana's use of <em class="species">nitida</em> would no longer be a homonym and would have priority over <em class="species">excisa.</em>
novaeguineae	novaeguineae;novae-guineae;novægunieæ;novaguinae	crassipes	Uca novægunieæ	Rathbun1913	Named after the island of New Guinea	<em class="species">Uca novægunieæ</em> Rathbun, 1913, is a junior synonym of <em class="species">Uca crassipes</em> (Adams &amp; White, 1848)
occidentalis	occidentalis	occidentalis	Uca occidentalis	Naderloo2016	Named for its distribution in the "western" Indian Ocean	.
oerstedi	oerstedi;œrstedi	oerstedi	Uca œrstedi	Rathbun1904.1	Presumably named after the Danish biologist, Anders Sandøe Ørsted	.
oldroydi	oldroydi;oldrodydi	oldroydi	Uca oldroydi	Rathbun1926.1	Named after fossil collectors Mr. and Mrs. T.S. Oldroyd.	.
olympioi	olympioi	uruguayensis	Uca olympioi	Oliveira1939.1	.	<em class="species">Uca olympioi</em> Oliveira, 1939, is a junior synonym of <em class="species">Uca uruguayensis</em> Nobili, 1901.
orientalis	orientalis	perplexa	Uca annulipes var. orientalis	Nobili1901.1	Name derived from the Latin for &ldquo;Eastern&rdquo;.	<em class="species">Uca annulipes var. orientalis</em> Nobili, 1901, is a junior synonym of <em class="species">Uca perplexa</em> (H. Milne Edwards, 1852)
ornata	ornatus;ornata	ornata	Gelasimus ornatus	Smith1870.2	Named for the ornamentation of the carapace.	.
orthomana	orthomana	festae	Uca (Minuca) orthomana	Bott1954	.	<em class="species">Uca (Minuca) orthomana</em> Bott, 1954, is a junior synonym of <em class="species">Uca festae</em> Nobili, 1901.
osa	osa	osa	Uca osa	Landstorfer2010	Named for the Península de Osa, which forms the Golfo Dulce, where the species was found.	.
pacificensis	pacificensis	excisa	Uca (Thalassuca) vocans pacificensis	Crane1975	Named for its distribution in the Pacific Ocean.	<em class="species">Uca (Thalassuca) vocans pacificensis</em> Crane, 1975 is a junior synonym of <em class="species">Uca excisa</em> Nobili, 1906.
palustris	palustris	?	Gelasimus palustris	MilneEdwards1852	The name derives from Sloane (1725), who was using it descriptively. It is Latin for &ldquo;marsh.&rdquo;	H. Milne Edwards adopted the name <em class="species">palustris</em> from the pre-Linnean book by Sloane (1725). However, no specific type was ever identified and some material in the Paris museum labeled as <em class="species">palustris</em> contained at least three different species. Because of the complete ambiguity over this name, it has been discarded.
panacea	panacea;panaceae	panacea	Uca panacea	Novak1974	Named after Panacea, Florida, where the species was first described.	.
panamensis	panamensis	panamensis	Gelasimus panamensis	Stimpson1859	Named for the country of Panama, where it was first found.	.
panema	panema	burgersi	Uca panema	Coelho1972	.	<em class="species">Uca panema</em> Coelho, 1972 is a junior synonym of <em class="species">Uca burgersi</em> (Holthuis, 1967).
paradussumieri	paradussumieri	paradussumieri	Mesuca (Latuca) paradussumieri	Bott1973.2	The name derives from the similar species <em class="species">Uca dussumieri.</em>	.
pavo	pavo	capricornis	Uca pavo	George1982	Named for the bright blue patches on the legs, similar to a peacock's tail (Latin for &ldquo;peacock&rdquo;)	<em class="species">Uca pavo</em> George &amp; Jones, 1982 is a junior synonym of <em class="species">Uca capricornis</em> Crane, 1975.
perlatus	perlatus	tangeri	Gelasimus perlatus	Herklots1851	.	<em class="species">Gelasimus perlatus</em> Herklots, 1851, is a junior synonym of <em class="species">Uca tangeri</em> (Eydoux, 1835)
perplexa	perplexa;perplexus	perplexa	Gelasimus perplexus	MilneEdwards1852	.	.
pilosipes	pilosipes	>Ucides cordatus	Uca pilosipes	Gill1858	Latin for &ldquo;hairy-legged.&rdquo;	This species is not a fiddler crab.
pizarri	pizarri	ornata	Uca pizarri	vonHagen1968.2	Named after the original collectio location, Puerto Pizarro, Peru.	<em class="species">Uca pizarri</em> von Hagen, 1968, is a junior synonym of <em class="species">Uca ornata</em> (Smith, 1870).
