(1983)	anonymous1983	Chinese
Allen (2007)	Allen2007.1	English
Allen & Levinton (2002)	Allen2002	English
Allen & Levinton (2004)	Allen2004	English
Allen & Levinton (2007)	Allen2007.2	
Allen & Levinton (2014)	Allen2014	English
Allen et al. (2012)	Allen2012	
Allen et al. (1995)	Allen1995	
Allen & Curran (1973)	Allen1973	English
Allen & Curran (1974)	Allen1974	English
Allen (1976)	Allen1976	English
Allington-Jones et al. (2010)	AllingtonJones2010	
Almeida et al. (2010)	Almedia2010	English [with Spanish abstract/summary]
al-Mossawi (2001)	alMossawi2001	
Al-Musawi & Wagner (2012)	alMusawi2012	English
Alongi & Sasekumar (1992)	Alongi1992	English
Altevogt (1955)	Altevogt1955.2	German
Altevogt (1955)	Altevogt1955.1	English
Altevogt (1956)	Altevogt1956.1	German
Altevogt (1956)	Altevogt1956.2	German
Altevogt (1957)	Altevogt1957.2	German
Altevogt (1957)	Altevogt1957.1	German
Altevogt (1957)	Altevogt1957.3	German
Altevogt (1959)	Altevogt1959.3	English
Altevogt (1959)	Altevogt1959.1	German
Altevogt (1959)	Altevogt1959.4	
Altevogt (1959)	Altevogt1959.2	
Altevogt (1962)	Altevogt1962	German
Altevogt (1963)	Altevogt1963.1	German [with English abstract/summary]
Altevogt (1963)	Altevogt1963.2	German
Altevogt (1964)	Altevogt1964.1	German
Altevogt (1964)	Altevogt1964.3	German
Altevogt (1965)	Altevogt1965.2	German
Altevogt (1965)	Altevogt1965.1	German [with English abstract/summary]
Altevogt (1966)	Altevogt1966	German
Altevogt (1968)	Altevogt1968	
Altevogt (1969)	Altevogt1969.2	
Altevogt (1969)	Altevogt1969	German [with English abstract/summary]
Altevogt (1970)	Altevogt1970	German [with English abstract/summary]
Altevogt (1972)	Altevogt1972	English
Altevogt (1976)	Altevogt1976	
Altevogt (1978)	Altevogt1978	
Altevogt (1988)	Altevogt1988	
Altevogt & Davis (1979)	Altevogt1979	English [with German abstract/summary]
Altevogt & von Hagen (1964)	Altevogt1964.2	German
Alvarez Del Castillo-C et al. (1992)	Alvarez1992	Spanish [with English abstract/summary]
Alvarez (1968)	Alvarez1968	Spanish
Amaral et al. (2009)	Amaral2009.1	
Amaral et al. (2009)	Amaral2009.2	
Anastasia et al. (1998)	Anastasia1998	
Andersen et al. (1990)	Anderson1990	
Anderson et al. (2017)	Anderson2017	English
Anderson et al. (2010)	Anderson2010	English
Andreetta et al. (2014)	Andreeta2014	English
Andrews (1973)	Andrews1973	English
Anger et al. (1990)	Anger1990	
Anger et al. (1994)	Anger1994	
Anilkumar et al. (2006)	Anilkumar2006.2	English
Ansell (1988)	Ansell1988	English
Aoki et al. (2003)	Aoki2003	English
Aoki et al. (2009)	Aoki2009	Japanese [with English abstract/summary]
Aoki et al. (2008)	Aoki2008	
Aoki & Wada (2013)	Aoki2013	English
Aoki et al. (2010)	Aoki2010	
Apel (2001)	Apel2001	German
Apel & Türkay (1999)	Apel1999	English
Araújo et al. (2012)	Araujo2012	
Araújo et al. (2014)	Araujo2014	Portuguese [with English abstract/summary]
Araujo et al. (2013)	Araujo2013	English
Armendariz (2005)	Armendariz2005	
Armendariz & Cesar (2006)	Armendariz2006	Portuguese and English
Arnoux et al. (1990)	Arnoux1990.1	French [with English abstract/summary]
Arnoux et al. (1990)	Arnoux1990.2	
Arnqvist (2006)	Arnqvist2006	
Artal (2008)	Artal2008	Spanish [with English abstract/summary]
Arzola-González et al. (2010)	ArzolaGonzalez2010	Spanish [with English abstract/summary]
Aschaffenburg (2008)	Aschaffenburg2006	English
Aschenbroich et al. (2016)	Aschenbroich2016	English
Aschoff (1965)	Aschoff1965	English
Ashton et al. (2003)	Ashton2003.1	
Ashton et al. (2003)	Ashton2003.2	
Aspey (1971)	Aspey1971	English
Aspey (1978)	Aspey1978	English [with German abstract/summary]
Atkinson & Naylor (1973)	Atkinson1973	English
Atkinson & Taylor (1988)	Atkinson1988	
Audouin (1829)	Audouin1829	French
Aurivillius (1893)	Aurivillius1893	German
Aurivillius (1898)	Aurivillius1898	German
Avent (1973)	Avent1973	English
Avent (1974)	Avent1974	English
Avent (1975)	Avent1975	English
Ayers (1938)	Ayers1938	English
Azpeitia et al. (2013)	Azpeitia2013	
Azzalina & Trainer (1985)	Azzalina1985	
Bachand (1979)	Bachand1979	
Bachmann & Rheinsmith (1973)	Bachmann1973	English
Backwell et al. (2000)	Backwell2000	
Backwell & Jennions (2004)	Backwell2004	English
Backwell et al. (1999)	Backwell1999	
Backwell et al. (1995)	Backwell1995	
Backwell et al. (1998)	Backwell1998.1	English
Backwell et al. (2006)	Backwell2006	
Backwell et al. (2007)	Backwell2007	
Backwell et al. (1998)	Backwell1998.2	
Backwell & Passmore (1996)	Backwell1996	
Bailey (2012)	Bailey2012	English
Bainbridge (1961)	Bainbridge1961	English
Bairagi & Misra (1988)	Bairagi1988	English
Baird & Burleson (1970)	Baird1970	English
Balbort & Thurman (1997)	Balbort1997	English
Balci et al. (2014)	Balci2014	English
Baldwin (1976)	Baldwin1976.1	English
Baldwin & Kirschener (1976)	Baldwin1976.3	English
Baldwin & Kirschener (1976)	Baldwin1976.2	English
Balss (1921)	Balss1921	German
Balss (1922)	Balss1922.2	German
Balss (1922)	Balss1922.1	German
Balss (1924)	Balss1924	German
Balss (1935)	Balss1935	English
Balss (1938)	Balss1938	German
Balss (1955)	Balss1955	
Balss & Gruner (1961)	Balss1961	German
Barba et al. (2010)	Barba2010	Spanish [with English abstract/summary]
Barber et al. (1978)	Barber1978	English
Barclay Terwilliger (1991)	BarclayTerwilliger1991	English
Barden & Koulish (1983)	Barden1983	English
Barlow (1977)	Barlow1977	English
Barnard (1925)	Barnard1925	English
Barnard (1950)	Barnard1950	English
Barnard et al. (2010)	Barnard2010	English
Barnard et al. (2012)	Barnard2012	
Barnes (2010)	Barnes2010	
Barnes (1975)	Barnes1975.1	English
Barnes (1975)	Barnes1975.2	English
Barnwell (1963)	Barnwell1963.2	English
Barnwell (1965)	Barnwell1965	English
Barnwell (1966)	Barnwell1966	English
Barnwell (1967)	Barnwell967	English
Barnwell (1968)	Barnwell1968.1	English
Barnwell (1968)	Barnwell1968.2	English
Barnwell (1976)	Barnwell1976	English
Barnwell (1980)	Barnwell1980	English
Barnwell (1982)	Barnwell1982	
Barnwell (1984)	Barnwell1984.3	English
Barnwell (1986)	Barnwell1986.1	
Barnwell (1986)	Barnwell1986.2	English
Barnwell (1988)	Barnwell1988	English
Barnwell (2002)	Barnwell2002	English
Barnwell & Brown (1963)	Barnwell1963.1	English
Barnwell & Martini (1993)	Barnwell1993	English
Barnwell & Matoyoshi (1970)	Barnwell1970	English
Barnwell et al. (1983)	Barnwell1983.1	
Barnwell & Stillman (1990)	Barnwell1990	English
Barnwell & Szelistowski (1985)	Barnwell1985	English
Barnwell & Thurman (1983)	Barnwell1983.2	English
Barnwell & Thurman (1984)	Barnwell1984.1	English
Barnwell et al. (1987)	Barnwell1987	English
Barnwell & Zinnel (1981)	Barnwell1981	
Barnwell & Zinnel (1984)	Barnwell1984.2	
Bartell (1966)	Bartell1966	English
Bartell (1967)	Bartell1967	English
Bartell & Fingerman (1969)	Bartell1969	English
Bartell & Fluke (1967)	Bartell1967.3	English
Bartell et al. (1968)	Bartell1968	English
Bartell et al. (1967)	Bartell1967.2	English
Bartell et al. (1971)	Bartell1971	English
Bartolini et al. (2011)	Bartolini2011	
Bartolini et al. (2009)	Bartolini2009	
Basan (1973)	Basan1973	English
Basan & Frey (1977)	Basan1977	English
Bate (1866)	Bate1866	English
Bate (1868)	Bate1868	English
Bate (1879)	Bate1879	English
Bateman & Fleming (2013)	Bateman2013	English [with French abstract/summary]
Bateman & Fleming (2015)	Bateman2015	English
Bates (1966)	Bates1966	
Baudouin (1903)	Baudouin1903	French
Baudouin (1906)	Baudouin1906	French
Baudouin (1906)	Baudouin1906.2	French
Bayley (1972)	Bayley1972	
Becker & Hinsch (1982)	Becker1982	
Bedê et al. (2008)	Bede2008	
Bee (1988)	Bee1988	German
Beebe (1928)	Beebe1928	English
Beebe (1951)	Beebe1951	German
Begg (1981)	Begg1981	English
Behre (1950)	Behre1950	English
Behum et al. (2005)	Behum2005	
Beinlich (1990)	Beinlich1990	German
Beinlich & Polivka (1989)	Beinlich1989	
Beinlich & von Hagen (2006)	Beinlich2006	English
Bell et al. (1978)	Bell1978	English
Benedict (1892)	Benedict1892	English
Benedict (1893)	Benedict1893	English
Benedict (1894)	Benedict1894	English
Benetti & Negreiros-Fransozo (2003)	Benetti2003	Spanish
Benetti & Negreiros-Fransozo (2004)	Benetti2004	
Benetti et al. (2007)	Benetti2007	
Benetti et al. (2008)	Benetti2008	
Benetti et al. (2013)	Benetti2013	English
Bennett (1964)	Bennett1964	English
Bennett (1963)	Bennett1963	English
Bennett & Brown (1959)	Bennett1959.1	English
Bennett & Brown (1959)	Bennett1959.2	English
Bennett et al. (1957)	Bennett1957	English
Bergey (2007)	Bergey2007.1	English
Bergey & Weis (2006)	Bergey2006	English
Bergey & Weis (2007)	Bergey2007.2	
Bergey & Weis (2008)	Bergey2008	
Bergin (1978)	Bergin1978	English
Bergin (1981)	Bergin1981	
Berglund et al. (1996)	Berglund1996	
Bertics (2009)	Bertics2009.1	English
Bertics & Ziebis (2009)	Bertics2009.2	
Bertness (1985)	Bertness1985	
Bertness & Miller (1984)	Bertness1984	
Bezerra (2012)	Bezerra2012	English
Bezerra & Coelho (2009)	Bezerra2009	
Bezerra & Coelho (2010)	Bezerra2010	
Bezerra et al. (2006)	Bezerra2006	
Bezerra & Matthews-Cascon (2007)	Bezerra2007	
Bhunia et al. (1989)	Bhunia1989	
Bianconi (1869)	Bianconi1869	Latin
Bier et al. (2009)	Bier2009	English
Bildstein et al. (1989)	Bildstein1989	
Biljlsma & de Roder (1991)	Biljlsma1991	English
Bingman & Cheng (2005)	Bingman2005	English
Bishop (1986)	Bishop1986	English
Bishop (1993)	Bishop1993	English
Blanchard (1890)	Blanchard1890	French
Blanquet (1966)	Blanquet1966	English
Blanquet (1968)	Blanquet1968	English
Blasco et al. (1999)	Blasco1999	
Blasingame et al. (1990)	Blasingame1990	
Bliss (1960)	Bliss1960	English
Bliss (1968)	Bliss1968.1	English
Bliss (1979)	Bliss1979	English
Bliss (1982)	Bliss1982	
Bliss et al. (1968)	Bliss1968.2	English
Bogazzi et al. (2001)	Bogazzi2001	
Bolau (1878)	Bolau1878	German
Bolivar (1892)	Bolivar1892	Spanish
Bolla et al. (2014)	Bolla2014	English [with Portuguese abstract/summary]
Bolton et al. (2013)	Bolton2013	
Bolton et al. (2011)	Bolton2011	
Bones (1983)	Bones1983	
Bones et al. (1984)	Bones1984	
Bonomelli et al. (1988)	Bonomelli1988	English
Booksmythe et al. (2008)	Booksmythe2008	
Booksmythe et al. (2012)	Booksmythe2012	
Booksmythe et al. (2010)	Booksmythe2010.1	English
Booksmythe et al. (2010)	Booksmythe2010.2	
Booksmythe et al. (2011)	Booksmythe2011	
Booksmythe et al. (2010)	Booksmythe2010.3	
Boone (1927)	Boone1927	English
Boone (1929)	Boone1929	English
Boone (1930)	Boone1930	English
Boone (1934)	Boone1934	English
Booth et al. (1973)	Booth1973	
Borgianini (2008)	Borgianini2008	English
Borgianini et al. (2005)	Borgianini2005	English
Borgianini et al. (2007)	Borgianini2007.2	English
Borgianini et al. (2012)	Borgianini2012	English
Borgianini et al. (2007)	Borgianini2007.1	English
Borradaile (1900)	Borradaile1900	English
Borradaile (1903)	Borradaile1903	English
Borradaile (1907)	Borradaile1907	English
Borradaile (1910)	Borradaile1910	English
Borst et al. (1987)	Borst1987	English
Bosc (1802)	Bosc1802	French
Bosc (1830)	Bosc1830	French
Boschi (1964)	Boschi1964	
Boshe (1982)	Boshe1982	English [with French abstract/summary]
Botos et al. (2000)	Botos2000	
Bott (1954)	Bott1954	German
Bott (1958)	Bott1958	German
Bott (1968)	Bott1968	German
Bott (1973)	Bott1973.1	German
Bott (1973)	Bott1973.2	German
Botto & Iribarne (2000)	Botto2000	
Botto et al. (2005)	Botto2005	
Bouillon et al. (2002)	Bouillon2002	
Bourdon & Bowman (1970)	Bourdon1970	English
Bousfield et al. (1968)	Bousfield1968	English
Boutan (1892)	Boutan1892	French
Bouvier (1895)	Bouvier1895	French
Bouvier (1906)	Bouvier1906	French
Bouvier (1915)	Bouvier1915	French
Bouvier (1921)	Bouvier1921	French
Bouvier (1940)	Bouvier1940	French
Bowerman (1977)	Bowerman1977	English
Bowlus & Somero (1979)	Bowlus1979	
Boyce (1924)	Boyce1924	English
Boyko (2000)	Boyko2000	
Boylan & Wenner (1993)	Boylan1993	
Brain et al. (2017)	Brain2017	English
Braithwaite & Talbot (1972)	Braithwaite1972	English
Brandt et al. (2010)	Brandt2010	
Brennecke et al. (2015)	Brennecke2015	
Breteler et al. (1981)	Breteler1981	
Brett (1960)	Brett1960	English
Brett et al. (1959)	Brett1959	English
Brickell (1737)	Brickell1737	English
Bright & Hogue (1972)	Bright1972	English
Brito Capello (1873)	BritoCapello1873	Portuguese
Brito Capello (1876)	BritoCapello1876	Portuguese
Brito (1972)	Brito1972	Portuguese [with English abstract/summary]
Brocchi (1875)	Brocchi1875	French
Brodie (2004)	Brodie2004.1	English
Brodie et al. (2005)	Brodie2005	English
Brodie & Godley (2006)	Brodie2006.2	English
Brodie et al. (2017)	Brodie2017	English
Brodie & Staton (2004)	Brodie2004.2	English
Brodie & Staton (2003)	Brodie2003	English
Brodie et al. (2007)	Brodie2007	
Brody et al. (2014)	Brody2014	English
Broghammer & Thurman (1996)	Borghammer1996	English
Brood (1976)	Brood1976	
Brookins & Epifanio (1985)	Brookins1985	
Broomhall (1983)	Broomhall1983	
Brösing (2010)	Brosing2010	
Brösing & Türkay (2011)	Brosing2011	
Brousseau et al. (2003)	Brousseau2003	
Brown (1940)	Brown1940.3	English
Brown (1950)	Brown1950	English
Brown (1953)	Brown1953.4	English
Brown (1954)	Brown1954.5	English
Brown (1959)	Brown1959	English
Brown (1960)	Brown1960	English
Brown (1960)	Brown1960.2	English
Brown (1961)	Brown1961	English
Brown (1965)	Brown1965	English
Brown et al. (1954)	Brown1954.1	English
Brown et al. (1955)	Brown1955.2	English
Brown et al. (1953)	Brown1953.2	English
Brown et al. (1956)	Brown1956.1	English
Brown et al. (1953)	Brown1953.1	English
Brown et al. (1954)	Brown1954.2	English
Brown et al. (1956)	Brown1956.2	English
Brown & Cunningham (1941)	Brown1941	English
Brown & Ederstrom (1940)	Brown1940.2	English
Brown & Fingerman (1951)	Brown1951.2	English
Brown et al. (1954)	Brown1954.3	English
Brown et al. (1953)	Brown1953.3	English
Brown et al. (1955)	Brown1955.4	English
Brown et al. (1949)	Brown1949.3	English
Brown et al. (1949)	Brown1949.5	English
Brown & Hines (1952)	Brown1952	English
Brown & Jones (1949)	Brown1949.2	English
Brown & Saigh (1946)	Brown1946.2	English
Brown & Sandeen (1946)	Brown1946	English
Brown & Sandeen (1948)	Brown1948.1	English
Brown et al. (1954)	Brown1954.6	English
Brown et al. (1949)	Brown1949.4	English
Brown & Scudamore (1940)	Brown1940	English
Brown & Stephens (1951)	Brown1951	English
Brown & Webb (1948)	Brown1948.2	English
Brown & Webb (1949)	Brown1949	English
Brown et al. (1955)	Brown1955	English
Brown et al. (1958)	Brown1958	English
Brown et al. (1954)	Brown1954.4	English
Brown et al. (1955)	Brown1955.3	English
Brown (1756)	Brown1756	English
Brown et al. (1979)	Brown1979	
Brown (1983)	Brown1983	English
Brown & Loveland (1980)	Brown1980	English
Brown & Loveland (1985)	Brown1985	
Brusca (1973)	Brusca1973.1	English
Brusca (1973)	Brusca1973.2	English
Brusca (1973)	Brusca1973	English
Brusca (1980)	Brusca1980	English
Buck et al. (2003)	Buck2003	
Buckman et al. (2017)	Buckman2017	English
Buen y Lozano (1922)	Buen1922	Spanish
Bui & Lee (2015)	Bui2015	English
Buitendijk (1947)	Buitendijk1947	English
Buitendijk (1950)	Buitendijk1950	English
Bumpus (1898)	Bumpus1898	English
Buranelli & Mantelatto (2017)	Buranelli2017	English
Burford et al. (1997)	Burford1997	
Burford et al. (1998)	Burford1998	English
Burford et al. (2000)	Burford2000.2	
Burford et al. (2000)	Burford2000.1	English [with Spanish abstract/summary]
Burford et al. (2001)	Burford2001.2	English
Burford et al. (2001)	Burford2001.3	
Burford et al. (2001)	Burford2001.1	
Burger et al. (1991)	Burger1991	
Burger et al. (1992)	Burger1992.1	
Burger & Gochfeld (1992)	Burger1992.2	
Burgers (1958)	Burgers1958	English
Burggren (1992)	Burggren1992	English
Burggren & McMahon (1988)	Burggren1988.1	English
Burggren & McMahon (1988)	Burggren1988.2	English
Burkenroad (1947)	Burkenroad1947	English
Burnett (1992)	Burnett1992	English
Burnett & Infantino (1984)	Burnett1984	
Burns (1975)	Burns1975	English
Burns (1976)	Burns1976	English
Burns & Teal (1979)	Burns1979	
Bursey (1982)	Bursey1982	English
Bursey (1985)	Bursey1985	
Burton (2015)	Burton2015	English
Burton & Hopkins (2002)	Burton2002	English
Buscaino et al. (2015)	Buscaino2015	English
Bush & Laverack (1982)	Bush1982	English
Busnel (1963)	Busnel1963	English
Butler (2013)	Butler2013	
Butler (1987)	Butler1987	English
Butler & Fingerman (1983)	Butler1983	English
Butler & Fingerman (1984)	Butler1984	English
Butler & Fingerman (1985)	Butler1985	English
Butler & Fingerman (1986)	Butler1986	English
Bywater et al. (2015)	Bywater2015	English
Bywater et al. (2009)	Bywater2009	English
Bywater et al. (2011)	Bywater2011	English
Bywater et al. (2012)	Bywater2012.2	English
Bywater et al. (2014)	Bywater2014	English
Bywater & Wilson (2010)	Bywater2010.2	English
Bywater & Wilson (2010)	Bywater2010.1	English
Bywater & Wilson (2012)	Bywater2012.1	
Caballero et al. (2015)	Caballero2015	English
Cable (1956)	Cable1965	English
Cain & Cohen (2014)	Cain2014	English
Calhoun & Zou (2016)	Calhoun2016	
Callahan & Weis (1983)	Callahan1983	
Callander et al. (2012)	Callander2012.1	
Callander et al. (2013)	Callander2013.1	
Callander et al. (2011)	Callander2011	
Callander et al. (2012)	Callander2012.2	
Callander et al. (2013)	Callander2013.2	
Callicott & Mangum (1991)	Callicott1991	English
Callicott & Mangum (1993)	Callicott1993	
Calman (1900)	Calman1900	English
Calman (1909)	Calman1909	English
Calman (1911)	Calman1911	English
Calman (1927)	Calman1927	English
Camacho et al. (2015)	Camacho2015	English
Cameron & Forward (1993)	Cameron1993	
Cameron & Mangum (1983)	Cameron1983	English
Cammen (1980)	Cammen1980.1	
Cammen et al. (1980)	Cammen1980.2	
Cammen et al. (1984)	Cammen1984	
Campion (1974)	Campion1974	English
Campos & de Campos (1989)	Campos1989	
Campos & Lopez (1998)	Campos1998	
Cannicci et al. (2009)	Cannicci2009	
Cannicci et al. (1999)	Cannici1999	
Cano (1889)	Cano1889.1	Italian
Cano (1889)	Cano1889.2	Italian
Capaldo (1987)	Capaldo1987	
Capaldo (1993)	Capaldo1993	
Capart (1951)	Capart1951	French
Capparelli et al. (2016)	Capparelli2016	English
Capparelli et al. (2017)	Capparelli2017	English
Caravello & Cameron (1987)	Caravello1987.1	
Caravello & Cameron (1987)	Caravello1987.2	
Caravello & Cameron (1991)	Caravello1991	
Cardoso (2003)	Cardoso2003	Portuguese
Cardoso & Negreiros-Fransozo (2004)	Cardoso2004	English
Carlet (1896)	Carlet1896	French
Carlisle & Knowles (1959)	Carlisle1959	English
Carlson et al. (2014)	Carlson2014	English
Carlson (1935)	Carlson1935	English
Carlson (1936)	Carlson1936	English
Carter (1931)	Carter1931	English
Carus (1885)	Carus1885	Latin
Cary et al. (2009)	Cary2009	English
Castiglioni (2003)	Castiglioni2003	Portuguese
Castiglioni et al. (2004)	Castiglioni2004.2	English [with Portuguese abstract/summary]
Castiglioni & Negreiros-Fransozo (2004)	Castiglioni2004	
Castiglioni & Negreiros-Fransozo (2005)	Castiglioni2005	
Castiglioni & Negreiros-Fransozo (2006)	Castiglioni2006.2	Portuguese [with English abstract/summary]
Castiglioni & Negreiros-Fransozo (2006)	Castiglioni2006.1	
Castiglioni et al. (2007)	Castiglioni2007	
Castillero Moores (1984)	Castillero1984	Spanish
Castro (2007)	Castro2007	
Catat (1895)	Catat1895	French
Catesby (1743)	Catesby1743	English and Latin
César et al. (2005)	Cesar2005	
Chabot et al. (2016)	Chabot2016	English
Chace (1942)	Chace1942	English
Chace & Hobbs (1969)	Chace1969	English
Chakraborty & Choudhury (1985)	Chakraborty1985	
Chakraborty & Choudhury (1992)	Chakraborty1992	
Chandy (1973)	Chandy1973	English
Chang (1963)	Chang1963	English
Chang & O'Connor (1983)	Chang1983	English
Chang et al. (1988)	Chang1988	
Chang (1984)	Chang1984	Chinese
Charniaux-Cotton & Payen (1985)	CharniauxCotton1985	English
Chase et al. (2013)	Chase2013	English
Chassard-Bouchaud & Galle (1986)	ChassardBouchaud1986	French [with English abstract/summary]
Chatterjee et al. (2014)	Chatterjee2014	English
Chavez & Cedillo (1999)	Chavez1999	Spanish [with English abstract/summary]
Checon & Costa (2017)	Checon2017	English
Chen & Ye (2011)	Chen2011	
Chen et al. (2007)	Chen2007	
Chen et al. (2016)	Chen2016	English
Chen et al. (2017)	Chen2017	English
Chen (1989)	Chen1989	
Chhapgar (1957)	Chhapgar1957	English
Chhapgar (1959 (1956))	Chhapgar1959	English
Chhapgar (1969)	Chhapgar1969	English
Chien & Hsieh (2001)	Chien2001	
Chilton & Bennett (1929)	Chilton1929	English
Chiussi & Díaz (2001)	Chiussi2001	
Chiussi & Díaz (2002)	Chiussi2002	
Choi (1991)	Choi1991	
Chopra & Das (1937)	Chopra1937	English
Chou & Backwell (2016)	Chou2016	English
Christiansen & Yang (1976)	Christiansen1976	English
Christopher (2007)	Chrisotpher2007	English
Christopher & Salmon (2005)	Christopher2005	English
Christopher et al. (2008)	Chrisotpher2008	
Christy (1978)	Christy1978	English
Christy (1979)	Christy1979	English
Christy (1980)	Christy1980	English
Christy (1982)	Christy1982.2	
Christy (1982)	Christy1982.1	
Christy (1983)	Christy1983	English
Christy (1985)	Christy1985	English
Christy (1987)	Christy1987.2	
Christy (1987)	Christy1987.1	
Christy (1988)	Christy1988.3	English
Christy (1988)	Christy1988.1	
Christy (1988)	Christy1988.2	
Christy (1989)	Christy1989	
Christy (2003)	Christy2003.1	
Christy (2011)	Christy2011	
Christy & Backwell (2006)	Christy2006.1	
Christy et al. (2001)	Christy2001	
Christy et al. (2002)	Christy2002	
Christy et al. (2003)	Christy2003.2	
Christy et al. (2003)	Christy2003.3	
Christy & Dennenmoser (2006)	Christy2006.2	English
Christy et al. (1998)	Christy1998.1	
Christy et al. (1996)	Christy1996	English
Christy & Morgan (1998)	Christy1998.2	
Christy et al. (2005)	Christy2005	English
Christy & Salmon (1984)	Christy1984	English
Christy & Salmon (1991)	Christy1991	
Christy & Schober (1994)	Christy1994	
Christy & Stancyk (1982)	Christy1982.3	English
Christy & Vargas (2010)	Christy2010	English
Chrzanowski & Cowley (1977)	Chrzanowski1977	English
Chu et al. (2015)	Chu2015	English
Chung et al. (1998)	Chung1998.1	
Chung et al. (1994)	Chung1994	English
Chung et al. (1995)	Chung1995	English
Chung et al. (1998)	Chung1998.2	
Chung et al. (1997)	Chung1997	English
Citadin et al. (2016)	Citadin2016	English
Claff et al. (1958)	Claff1958	English
Clark (1896)	Clark1896	English
Clark & Backwell (2015)	Clark2015	English
Clark & Backwell (2016)	Clark2016	English
Clark & Backwell (2016)	Clark2016.2	
Clark & Backwell (2016)	Clark2016.3	English
Clark & Backwell (2017)	Clark2017	English
Clark et al. (1986)	Clark1986	
Clark (1935)	Clark1935	English
Clark & Presswell (2001)	Clark2001	
Claude (1964)	Claude1964	
Claussen et al. (2008)	Claussen2008	
Claybrook (1976)	Claybrook1976	English
Claybrook (1983)	Claybrook1983	English
Clayton (1986)	Clayton1986	
Clifford (1982)	Clifford1982	English
Coelho (1967)	Coelho1967	Portuguese [with English abstract/summary]
Coelho (1971)	Coelho1971	Portuguese [with English abstract/summary]
Coelho (1972)	Coelho1972	Portuguese
Coelho et al. (2008)	Coelho2008	
Coelho & Ramos (1972)	Coelho1972.2	Portuguese [with English abstract/summary]
Cohen & Dijkgraaf (1961)	Cohen1961	English
Cohen (2012)	Cohen2012.1	
Cohen & Kern (2012)	Cohen2012.2	
Colby & Fonseca (1979)	Colby1979	English
Colby & Fonseca (1980)	Colby1980	
Colby & Fonseca (1981)	Colby1981	English
Colby & Fonseca (1984)	Colby1984	
Cole (1971)	Cole1971	English
Coleman (1982)	Coleman1982	
Collett (2003)	Collett2003	English
Collins et al. (1984)	Collins1984	
Colosi (1924)	Colosi1924	Italian
Colpo (2001)	Colpo2001	Portuguese
Colpo & López-Greco (2017)	Colpo2017	English
Colpo & Negreiros-Fransozo (2003)	Colpo2003	
Colpo & Negreiros-Fransozo (2004)	Colpo2004	
Colpo & Negreiros-Fransozo (2011)	Colpo2011	
Colpo & Negreiros-Fransozo (2013)	Colpo2013	English
Coluccy et al. (2015)	Coluccy2015	English
Conan (1985)	Conan1985	English
Conde & Díaz (1985)	Conde1985	Spanish [with English abstract/summary]
Connaughton (1988)	Connaughton1988	English
Coohill (1982)	Coohill1982	English
Coohill et al. (1969)	Coohill1969	English
Coohill et al. (1970)	Coohill1970	English
