Reference	#	Scientific Name	Common Name	Where	Type	Applies to	#	Actual	Source of Actual	Species Notes	General Notes	
Yoritaka	2	.	Kome-tsukigani; Tau chi-gani	figure	location	Japan	.	lactea	Yamaguchi2001.1	Kome-tsukigani = &ldquo;rice cleaning crab&rdquo;; Tau chi-gani = &ldquo;rice field cultivating crab&rdquo;	.	
Forsskal1775	1	Cancer serratus	.	text p. 90	location	Red Sea	.	>Scylla serrata	<	.	.	
Fabricius1775	1.1	Cancer vocans	.	text p. 401: #7	citation	Marcgrave1648	1	=	=	.	.	
Fabricius1775	1.2	Cancer vocans	.	text p. 401: #7	citation	Piso1658	1	=	=	.	.	
Fabricius1775	1.3	Cancer vocans	.	text p. 401: #7	citation	Seba1758	1	=	=	.	.	
Fabricius1775	1.4	Cancer vocans	.	text p. 401: #7	citation	Gronovius1764	1	=	=	.	.	
Fabricius1775	1.5	Cancer vocans	.	text p. 401: #7	citation	Petiver1704	1	=	=	.	.	
Fabricius1775	1.6	Cancer vocans	.	text p. 401: #7	citation	Catesby1743	1	=	=	.	.	
Fabricius1775	1.7	Cancer vocans	.	text p. 401: #7	citation	Linnaeus1763	1	=	=	.	.	
Fabricius1775	1.8	Cancer vocans	.	text p. 401: #7	citation	Linnaeus1766	1	=	=	.	.	
Fabricius1775	1.9	Cancer vocans	.	text p. 401: #7	citation	Rumphius1705	1	=	=	.	.	
Fabricius1775	2.1	Cancer cordatus	.	text p. 400: #3	citation	Linnaeus1766	3	=	=	.	.	
Fabricius1775	2.2	Cancer cordatus	.	text p. 400: #3	citation	Linnaeus1763	2	=	=	.	.	
Fabricius1775	3.1	Cancer Uca	.	text p. 403: #16	citation	Marcgrave1648	4	=	=	.	.	
Fabricius1775	3.2	Cancer Uca	.	text p. 403: #16	citation	Linnaeus1766	2	=	=	.	.	
StatiusMuller1775	1	Cancer cordatus	Die Herzkrabbe	"text p. 1099; Plate 34, figure 1"	citation	Linnaeus1766	3	=	=	.	.	
StatiusMuller1775	2	Cancer vocans	Der Winker	"text p. 1103; Plate 34, figure 1"	citation	Linnaeus1766	1	=	=	.	.	
StatiusMuller1775	3	Cancer uca	Die Morastkrabbe	"text p. 1103; Plate 34, figure 1"	citation	Linnaeus1766	2	=	=	.	.	
Fermins1775	1	Cancer albicans	.	text p. 258	citation	StatiusMuller1775	3	=	=	.	.	
Oldendorp1777	1	.	Die Mangelkrabben	ext p. 132	location	Caribbean Sea	.	?	<	.	.	
DeGeer1778	1.1	Cancer vocans	Crabe appellant	text p. 430-432; plate 26: figure 12	citation	Gronovius1764	1	=	=	.	.	
DeGeer1778	1.2	Cancer vocans	Crabe appellant	text p. 430-432; plate 26: figure 12	citation	Linnaeus1766	1	=	=	.	.	
DeGeer1778	1.3	Cancer vocans	Crabe appellant	text p. 430-432; plate 26: figure 12	citation	Marcgrave1648	1	=	=	.	.	
DeGeer1778	1.4	Cancer vocans	Crabe appellant	text p. 430-432; plate 26: figure 12	citation	Marcgrave1648	2	=	=	.	.	
DeGeer1778	1.5	Cancer vocans	Crabe appellant	text p. 430-432; plate 26: figure 12	citation	Rumphius1705	1	=	=	.	.	
DeGeer1778	1.6	Cancer vocans	Crabe appellant	text p. 430-432; plate 26: figure 12	citation	Seba1758	1	=	=	.	.	
DeGeer1778	1.7	Cancer vocans	Crabe appellant	text p. 430-432; plate 26: figure 12	citation	Rumphius1705	1	=	=	.	.	
Fabricius1781	1.1	Cancer vocans	.	text p. 499: #17	citation	Fabricius1775	1	=	=	.	.	
Fabricius1781	1.2	Cancer vocans	.	text p. 499: #17	citation	Linnaeus1766	1	=	=	.	.	
Fabricius1781	1.3	Cancer vocans	.	text p. 499: #17	citation	Linnaeus1763	1	=	=	.	.	
Fabricius1781	1.4	Cancer vocans	.	text p. 499: #17	citation	DeGeer1778	1	=	=	.	.	
Fabricius1781	1.5	Cancer vocans	.	text p. 499: #17	citation	Piso1658	1	=	=	.	.	
Fabricius1781	1.6	Cancer vocans	.	text p. 499: #17	citation	Seba1758	1	=	=	.	.	
Fabricius1781	1.7	Cancer vocans	.	text p. 499: #17	citation	Petiver1704	1	=	=	.	.	
Fabricius1781	1.8	Cancer vocans	.	text p. 499: #17	specimen	Jamaica	.	.	.	.	.	
Fabricius1781	2.1	Cancer cordatus	.	text p. 496: #3	citation	Fabricius1775	2	=	=	.	.	
Fabricius1781	2.2	Cancer cordatus	.	text p. 496: #3	citation	Linnaeus1766	3	=	=	.	.	
Fabricius1781	2.3	Cancer cordatus	.	text p. 496: #3	citation	Linnaeus1764	1	=	=	.	.	
Fabricius1781	2.4	Cancer cordatus	.	text p. 496: #3	citation	Rumphius1705	2	=	=	.	.	
Fabricius1781	3.1	Cancer Uca	.	text p. 498: #15	citation	Marcgrave1648	4	=	=	.	.	
Fabricius1781	3.2	Cancer Uca	.	text p. 498: #15	citation	Linnaeus1766	2	=	=	.	.	
Fabricius1781	3.3	Cancer Uca	.	text p. 498: #15	citation	Fabricius1775	3	=	=	.	.	
Herbst1782	1.01	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Linnaeus1766	1	=	=	.	.	
Herbst1782	1.02	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Linnaeus1763	1	=	=	.	.	
Herbst1782	1.03	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Fabricius1775	1	=	=	.	.	
Herbst1782	1.04	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Marcgrave1648	1	=	=	.	.	
Herbst1782	1.05	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Marcgrave1648	2	=	=	.	.	
Herbst1782	1.06	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Fabricius1781	1	=	=	.	.	
Herbst1782	1.07	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Jonston1650	2	=	=	.	.	
Herbst1782	1.08	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Jonston1650	3	=	=	.	.	
Herbst1782	1.09	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Piso1658	1	=	=	.	.	
Herbst1782	1.1	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Rumphius1705	1	=	=	.	.	
Herbst1782	1.11	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Gronovius1764	1	=	=	.	.	
Herbst1782	1.12	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Petiver1704	1	=	=	.	.	
Herbst1782	1.13	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Plumier	.	=	=	"""Plumier Zool. Americ. MSC. Cancer minor palustris, heterochelos"""	.	
Herbst1782	1.14	Cancer vocans minor	Der kleine Winker	text p. 81-82: #4a; plate 1: figure 10	citation	Sloane1725	1.1	=	=	.	.	
Herbst1782	2.1	Cancer vocans major	Der grosse Winker	text p. 83-84: #4b; plate 1: figure 11	citation	Seba1758	1	=	=	.	.	
Herbst1782	2.2	Cancer vocans major	Der grosse Winker	text p. 83-84: #4b; plate 1: figure 11	citation	Catesby1743	1	=	=	.	.	
Herbst1782	3.1	Cancer cordatus	Die Herzkrabbe	text p. 131: #39; plate 6: figure 38	citation	Linnaeus1766	3	=	=	.	.	
Herbst1782	3.2	Cancer cordatus	Die Herzkrabbe	text p. 131: #39; plate 6: figure 38	citation	Fabricius1775	2	=	=	.	.	
Herbst1782	3.3	Cancer cordatus	Die Herzkrabbe	text p. 131: #39; plate 6: figure 38	citation	Fabricius1781	2	=	=	.	.	
Herbst1782	3.4	Cancer cordatus	Die Herzkrabbe	text p. 131: #39; plate 6: figure 38	citation	Linnaeus1763	2	=	=	.	.	
Herbst1782	3.5	Cancer cordatus	Die Herzkrabbe	text p. 131: #39; plate 6: figure 38	citation	StatiusMuller1775	1	=	=	.	.	
Herbst1782	3.6	Cancer cordatus	Die Herzkrabbe	text p. 131: #39; plate 6: figure 38	citation	Seba1758	3	=	=	.	.	
Herbst1782	4.01	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Linnaeus1766	2	=	=	.	.	
Herbst1782	4.02	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Fabricius1775	3	=	=	.	.	
Herbst1782	4.03	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Fabricius1781	3	=	=	.	.	
Herbst1782	4.04	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Piso1658	2	=	=	.	.	
Herbst1782	4.05	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Jonston1650	4	=	=	.	.	
Herbst1782	4.06	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Sachs1665	4	=	=	.	.	
Herbst1782	4.07	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Marcgrave1648	4	=	=	.	.	
Herbst1782	4.08	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Fermins1775	1	=	=	.	.	
Herbst1782	4.09	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Oldendorp1777	1	=	=	.	.	
Herbst1782	4.1	Cancer Uca	Die Morastkrabbe	text p. 128-130	citation	Brown1756	1	=	=	.	.	
Fabricius1787	1.1	Cancer vocans	.	text p. 318	citation	Rumphius1705	1	=	=	.	.	
Fabricius1787	1.2	Cancer vocans	.	text p. 318	citation	Herbst1782	1	=	=	.	.	
Parra1787	1	.	Cangrejos Ajaes Terrestres	text p. 164-165; plate 58	specimen	Cuba	.	.	.	.	.	
Herbst1790	1	Cancer tetragonon	Die vierseitige Krabbe	text p. 257-258: #153; plate 20: figure 110	specimen	?	.	tetragonon	<	Described from a female. Not recognized at the time as in the same general group as fiddler crabs.	.	
Herbst1790.2	1	Cancer vocans minor	Der kleine Winker	Plate 1: figure 10	citation	Herbst1782	1	=	=	.	.	
Herbst1790.2	2	Cancer vocans major	Der grosse Winker	Plate 1: figure 11	citation	Herbst1782	2	=	=	.	.	
Herbst1790.2	3	Cancer cordatus	Die Herzkrabbe	Plate 6: figure 38	citation	Herbst1782	3	=	=	.	.	
Herbst1790.2	4	Cancer tetragonon	Die vierseitige Krabbe	Plate 20: figure 110	citation	Herbst1790	1	=	=	.	.	
Olivi1792	1	Cancer vocans	.	text p. 44	citation	Linnaeus1766	1	=	=	.	"Olivi was studying the Adriatic Sea, where no fiddler crabs exist. He probably applied the name to a non-fiddler crab species"	
Fabricius1797	1	Cancer vocans	sand crab	text p. 115	location	Jamaica	.	.	.	.	.	
Fabricius1798.1	1.1	Cancer vocans	.	text p. 446: #25	citation	Linnaeus1766	1	=	=	.	.	
Fabricius1798.1	1.2	Cancer vocans	.	text p. 446: #25	citation	Linnaeus1763	1	=	=	.	.	
Fabricius1798.1	1.3	Cancer vocans	.	text p. 446: #25	citation	DeGeer1778	1	=	=	.	.	
Fabricius1798.1	1.4	Cancer vocans	.	text p. 446: #25	citation	Rumphius1705	1	=	=	.	.	
Fabricius1798.1	1.5	Cancer vocans	.	text p. 446: #25	citation	Herbst1782	1	=	=	.	.	
Fabricius1798.1	1.6	Cancer vocans	.	text p. 446: #25	citation	Piso1658	1	=	=	.	.	
Fabricius1798.1	1.7	Cancer vocans	.	text p. 446: #25	citation	Seba1758	1	=	=	.	.	
Fabricius1798.1	1.8	Cancer vocans	.	text p. 446: #25	citation	Petiver1704	1	=	=	.	.	
Fabricius1798.1	1.9	Cancer vocans	.	text p. 446: #25	specimen	Jamaica	.	.	.	.	.	
Fabricius1798.2	1.1	Cancer vocans	.	text p. 340: #24	citation	Fabricius1798.1	1	=	=	.	.	
Fabricius1798.2	1.2	Cancer vocans	.	text p. 340: #24	citation	Linnaeus1766	1	=	=	.	.	
Fabricius1798.2	1.3	Cancer vocans	.	text p. 340: #24	citation	Linnaeus1763	1	=	=	.	.	
Fabricius1798.2	1.4	Cancer vocans	.	text p. 340: #24	citation	DeGeer1778	1	=	=	.	.	
Fabricius1798.2	1.5	Cancer vocans	.	text p. 340: #24	citation	Rumphius1705	1	=	=	.	.	
Fabricius1798.2	1.6	Cancer vocans	.	text p. 340: #24	citation	Herbst1782	1	=	=	.	.	
Fabricius1798.2	1.7	Cancer vocans	.	text p. 340: #24	citation	Piso1658	1	=	=	.	.	
Fabricius1798.2	1.8	Cancer vocans	.	text p. 340: #24	citation	Seba1758	1	=	=	.	.	
Fabricius1798.2	1.9	Cancer vocans	.	text p. 340: #24	citation	Petiver1704	1	=	=	.	.	
Fabricius1798.2	2	Cancer tetragonus	.	text p. 341: #26	specimen	East Indies	.	>Muradium tetragonum	.	"Fabricius (1798) used an almost identical name as Herbst (1790) for a very different species, causing some authors to assume that the species of Fabricius was the same as the species of Herbst."	.	
Herbst1799	1.1	Cancer vocans	.	text p. 29-30	citation	Olivi1792	1	=	=	.	.	
Herbst1799	1.2	Cancer vocans	.	text p. 29-30	citation	Herbst1782	2	=	=	.	.	
Herbst1799	1.3	Cancer vocans	.	text p. 29-30	citation	Herbst1782	1	=	=	.	.	
Herbst1799	1	Cancer tetragonon	.	text p. 31	citation	Herbst1790	1	=	=	.	.	
Lamarck1801	1.1	Ocypoda heterochelos	.	text p. 150	citation	Seba1758	1	=	=	.	.	
Lamarck1801	1.2	Ocypoda heterochelos	.	text p. 150	citation	Herbst1782	2.1	=	=	.	.	
Lamarck1801	2	Ocypoda heterochelos var minor	.	text p. 150	citation	Herbst1782	1	=	=	.	.	
Shaw1802	1	Cancer uka	Uka crab	text/plate 588	citation	Seba1758	1	=	=	.	.	
Bosc1802	1.1	Ocypoda heterochelos	Ocypode noir	text p. 197	citation	Seba1758	1	=	=	.	.	
Bosc1802	1.2	Ocypoda heterochelos	Ocypode noir	text p. 197	citation	Herbst1782	2.1	=	=	.	.	
Bosc1802	1.3	Ocypoda heterochelos	Ocypode noir	text p. 197	citation	Marcgrave1648	1	=	=	.	.	
Bosc1802	2.1	Ocypoda pugilator	Ocypode combattant	text p. 197-198	location	"North and South Carolina, USA"	.	pugilator	<	.	.	
Bosc1802	2.2	Ocypoda pugilator	Ocypode combattant	text p. 197-198	citation	Marcgrave1648	2	=	=	.	.	
Bosc1802	3.1	Ocypoda vocans	Ocypode appelant	text p. 198	citation	DeGeer1778	1	=	=	.	.	
Bosc1802	3.2	Ocypoda vocans	Ocypode appelant	text p. 198	citation	Rumphius1705	1	=	=	.	.	
Bosc1802	3.3	Ocypoda vocans	Ocypode appelant	text p. 198	citation	Herbst1782	1	=	=	.	.	
Bosc1802	4.1	Ocypoda tetragona	Ocypode tétragone	text p. 198	citation	Fabricius1798.2	2	=	=	.	.	
Bosc1802	4.2	Ocypoda tetragona	Ocypode tétragone	text p. 198	citation	Herbst1799	0	>Muradium tetragonum	.	.	.	
Latreille1802	1.1	Ocypoda vocans	Ocypode appelant	"text p. 31, p. 45-46"	citation	Linnaeus1766	1	=	=	.	.	
Latreille1802	1.2	Ocypode vocans	Ocypode appelant	"text p. 31, p. 45-46"	citation	Fabricius1798.2	1	=	=	.	.	
Latreille1802	1.3	Ocypode vocans	Ocypode appelant	"text p. 31, p. 45-46"	citation	Linnaeus1763	1	=	=	.	.	
Latreille1802	2.1	Ocypode maracoani	Ocypode maracoani	text p. 45-46	citation	Marcgrave1648	1	=	=	.	.	
Latreille1802	2.2	Ocypode maracoani	Ocypode maracoani	text p. 45-46	citation	Piso1658	1	=	=	.	.	
Latreille1802	2.3	Ocypode maracoani	Ocypode maracoani	text p. 45-46	citation	Seba1758	1	=	=	.	.	
Latreille1802	2.4	Ocypode maracoani	Ocypode maracoani	text p. 45-46	citation	Bosc1802	1	=	=	.	.	
Latreille1802	3.1	Ocypode pugilator	Ocypode combattant	text p. 45-47	citation	DeGeer1778	1	=	=	.	.	
Latreille1802	3.2	Ocypode pugilator	Ocypode combattant	text p. 45-47	citation	Bosc1802	2	=	=	.	.	
Latreille1802	3.3	Ocypode pugilator	Ocypode combattant	text p. 45-47	citation	Herbst1782	1	=	=	.	.	
Latreille1802	4.1	Ocypode cordata	Ocypode en cœur	text p. 37-38	citation	Linnaeus1766	2	=	=	.	.	
Latreille1802	4.2	Ocypode cordata	Ocypode en cœur	text p. 37-38	citation	Linnaeus1766	3	=	=	.	.	
Latreille1802	4.3	Ocypode cordata	Ocypode en cœur	text p. 37-38	citation	Seba1758	3	=	=	.	.	
Latreille1802	4.4	Ocypode cordata	Ocypode en cœur	text p. 37-38	citation	Herbst1782	3	=	=	.	.	
Latreille1802	4.5	Ocypode cordata	Ocypode en cœur	text p. 37-38	citation	Piso1658	2	=	=	.	.	
Herbst1804	1	Cancer vocator	.	text p. 1: #252; plate 59: figure 1	specimen	Atlantic coast of the Americas	.	vocator	<	.	.	
Herbst1804	2	Cancer vocans	.	text p. 1	citation	Herbst1782	1	=	=	.	.	
Latreille1806	1.1	Ocypode uça	Ocypode uça	text p. 31	citation	Latreille1802	4	=	=	.	.	
Latreille1806	1.2	Ocypode uça	Ocypode uça	text p. 31	citation	Linnaeus1766	2	=	=	.	.	
Latreille1806	1.3	Ocypode uça	Ocypode uça	text p. 31	citation	Piso1658	2	=	=	.	.	
Latreille1806	1.4	Ocypode uça	Ocypode uça	text p. 31	citation	Seba1758	3	=	=	.	.	
Latreille1806	1.5	Ocypode uça	Ocypode uça	text p. 31	citation	Herbst1782	3	=	=	.	.	
Latreille1806	2	Ocypode vocans	.	text p. 32	citation	Latreille1802	1	=	=	.	.	
Fabricius1810	1	Cancer vocans	sand crab	text p. 115	location	Jamaica	.	.	.	.	.	
Molina1810	1	Ocypoda nigra	Ocipoda nera	text p. 187	location	Chile	.	.	.	.	.	
Olivier1811	1.1	Ocypode vocans	Ocypode vocatif	"text p. 414, 417: #9"	citation	Latreille1802	1	=	=	.	.	
Olivier1811	1.2	Ocypode vocans	Ocypode vocatif	"text p. 414, 417: #9"	citation	Bosc1802	3	=	=	.	.	
Olivier1811	1.3	Ocypode vocans	Ocypode vocatif	"text p. 414, 417: #9"	citation	Fabricius1798.2	1	=	=	.	.	
Olivier1811	2.1	Ocypode heterochelos	Ocypode noir	"text p. 414, 417: #10"	citation	Bosc1802	1	=	=	.	.	
Olivier1811	2.2	Ocypode heterochelos	Ocypode noir	"text p. 414, 417: #10"	citation	Latreille1802	2	=	=	.	.	
Olivier1811	2.3	Ocypode heterochelos	Ocypode noir	"text p. 414, 417: #10"	citation	Seba1758	1	=	=	.	.	
Olivier1811	2.4	Ocypode heterochelos	Ocypode noir	"text p. 414, 417: #10"	citation	Herbst1782	2.1	=	=	.	.	
Olivier1811	2.5	Ocypode heterochelos	Ocypode noir	"text p. 414, 417: #10"	citation	Marcgrave1648	1	=	=	.	.	
Olivier1811	3	Ocypode pugilator	Ocypode combattant	"text p. 414, 418: #12"	citation	Bosc1802	2	=	=	.	.	
Olivier1811	4.1	Ocypode tetragona	Ocypode tétragone	"text p. 415, 418-419: #17"	citation	Bosc1802	4	=	=	.	.	
Olivier1811	4.2	Ocypode tetragona	Ocypode tétragone	"text p. 415, 418-419: #17"	citation	Fabricius1798.2	2	=	=	.	.	
Olivier1811.2	1.01	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Fabricius1775	1	=	=	.	.	
Olivier1811.2	1.02	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Fabricius1798.1	1	=	=	.	.	
Olivier1811.2	1.03	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Linnaeus1758	1	=	=	.	.	
Olivier1811.2	1.04	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Linnaeus1763	1	=	=	.	.	
Olivier1811.2	1.05	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	DeGeer1778	1	=	=	.	.	
Olivier1811.2	1.06	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Rumphius1705	1	=	=	.	.	
Olivier1811.2	1.07	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Marcgrave1648	1	=	=	.	.	
Olivier1811.2	1.08	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Piso1658	1	=	=	.	.	
Olivier1811.2	1.09	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Gronovius1764	1	=	=	.	.	
Olivier1811.2	1.1	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Petiver1704	1	=	=	.	.	
Olivier1811.2	1.11	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Herbst1782	1	=	=	.	.	
Olivier1811.2	1.12	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Herbst1782	2	=	=	.	.	
Olivier1811.2	1.13	Cancer vocans	Crabe vocatis	text p. 157-158: #30	citation	Seba1758	1	=	=	.	.	
